Protein IDs,Protein names,Gene names,Razor + unique peptides,Sequence coverage [%],Mol. weight [kDa],Sequence length,Q-value,Score,Intensity
P06310,Ig kappa chain V-II region RPMI 6410,,3,36.8,14.707,133,0,99.295,2040400000
P06311,Ig kappa chain V-III region IARC/BL41,,2,24.2,14.07,128,0,15.407,318720000
P06317,Ig lambda chain V-VI region SUT,,2,16.2,12.247,111,0,2.9157,109780000
P06331,Ig heavy chain V-II region ARH-77;Ig heavy chain V-II region NEWM,,2,17.1,16.228,146,0,208.53,6420100000
P06396,Gelsolin,GSN,56,80.7,85.696,782,0,323.31,8.3195E+11
P06576,"ATP synthase subunit beta, mitochondrial",ATP5B,2,4.5,56.559,529,0,14.305,43616000
P06681,Complement C2;Complement C2b fragment;Complement C2a fragment,C2,59,74.9,83.267,752,0,323.31,7.7108E+11
P06702,Protein S100-A9,S100A9,11,86,13.242,114,0,323.31,21900000000
P06703,Protein S100-A6,S100A6,3,24.4,10.18,90,0.0035587,1.8204,1818700000
P06727,Apolipoprotein A-IV,APOA4,46,84.6,45.398,396,0,323.31,1.8432E+12
P06732,"Creatine kinase M-type;Creatine kinase M-type, N-terminally processed",CKM,23,60.4,43.101,381,0,323.31,13023000000
P06733,Alpha-enolase,ENO1,10,30.6,47.168,434,0,61.46,1003500000
P06737,"Glycogen phosphorylase, liver form;Alpha-1,4 glucan phosphorylase",PYGL,28,41.2,93.133,813,0,198.09,1012900000
P06744,Glucose-6-phosphate isomerase,GPI,19,35.7,63.146,558,0,200.81,3457100000
P06858,Lipoprotein lipase,LPL,5,14.3,53.162,475,0,111.5,156510000
P07093,Glia-derived nexin,SERPINE2,2,4.5,44,397,0,2.6237,9889800
P07108,Acyl-CoA-binding protein,DBI,5,64.4,10.044,87,0,13.962,694090000
P07148,"Fatty acid-binding protein, liver",FABP1,7,70.1,14.208,127,0,63.142,465160000
P07195,L-lactate dehydrogenase B chain,LDHB,19,69.8,36.638,334,0,237.99,27887000000
P07225,Vitamin K-dependent protein S,PROS1,33,50.9,75.122,676,0,323.31,1.0732E+11
P07237,Protein disulfide-isomerase,P4HB,37,64.8,57.116,508,0,291.8,18924000000
P07307,Asialoglycoprotein receptor 2,ASGR2,7,25.8,32.55,287,0,83.091,622740000
P07327,Alcohol dehydrogenase 1A,ADH1A,4,9.6,39.858,375,0,6.1119,61195000
P07339,Cathepsin D;Cathepsin D light chain;Cathepsin D heavy chain,CTSD,18,53.2,44.552,412,0,323.31,18128000000
P07358,Complement component C8 beta chain,C8B,28,58.7,67.046,591,0,323.31,14237000000
P07359,Platelet glycoprotein Ib alpha chain;Glycocalicin,GP1BA,12,16.3,71.539,652,0,305.27,17583000000
P07360,Complement component C8 gamma chain,C8G,3,16.3,22.277,202,0,4.3845,20386000
P07384,Calpain-1 catalytic subunit,CAPN1,15,30.4,81.889,714,0,150.43,451780000
P07451,Carbonic anhydrase 3,CA3,6,35,29.557,260,0,50.426,1339800000
P07476,Involucrin,IVL,2,5.8,68.478,585,0,97.142,27882000
P07478,Trypsin-2,PRSS2,4,34,26.487,247,0,19.823,720470000
P07585,Decorin,DCN,5,13.6,39.746,359,0,6.5165,361340000
P07686,Beta-hexosaminidase subunit beta;Beta-hexosaminidase subunit beta chain B;Beta-hexosaminidase subunit beta chain A,HEXB,23,48,63.111,556,0,323.31,3113200000
P07711,Cathepsin L1;Cathepsin L1 heavy chain;Cathepsin L1 light chain,CTSL,5,17.1,37.564,333,0,37.459,613140000
P07737,Profilin-1,PFN1,12,74.3,15.054,140,0,278.67,20910000000
P07738,Bisphosphoglycerate mutase,BPGM,8,38.6,30.005,259,0,58.303,687620000
P07858,Cathepsin B;Cathepsin B light chain;Cathepsin B heavy chain,CTSB,14,41.9,37.821,339,0,213.15,3053700000
P07900,Heat shock protein HSP 90-alpha,HSP90AA1,21,32.1,84.659,732,0,160.5,1417000000
P07949,Proto-oncogene tyrosine-protein kinase receptor Ret;Soluble RET kinase fragment;Extracellular cell-membrane anchored RET cadherin 120 kDa fragment,RET,3,3.9,119.85,1072,0,13.524,15756000
P08107,Heat shock 70 kDa protein 1A,HSPA1A,19,51.8,70.051,641,0,127.23,806090000
P08123,Collagen alpha-2(I) chain,COL1A2,11,8.9,129.31,1366,0,112.02,7879700000
P08133,Annexin A6;Annexin,ANXA6,12,18.9,72.423,641,0,15.129,206160000
P08185,Corticosteroid-binding globulin,SERPINA6,20,68.4,45.14,405,0,323.31,4.8559E+11
P08236,Beta-glucuronidase,GUSB,4,7.8,69.141,600,0,4.4426,23400000
P08238,Heat shock protein HSP 90-beta,HSP90AB1,4,16.3,83.263,724,0,6.3031,71445000
P08253,72 kDa type IV collagenase;PEX,MMP2,31,62,73.881,660,0,323.31,8456100000
P08263,"Glutathione S-transferase A1;Glutathione S-transferase A1, N-terminally processed;Glutathione S-transferase;Glutathione S-transferase A5;Glutathione S-transferase A3;Glutathione S-transferase A2",GSTA1;GSTA3;GSTA5;GSTA2,2,7.2,25.631,222,0,2.4776,44678000
P08294,Extracellular superoxide dismutase [Cu-Zn],SOD3,9,40,25.851,240,0,323.31,5532900000
P08473,Neprilysin,MME,4,7.3,85.513,750,0,9.3706,52183000
P08493,Matrix Gla protein,MGP,2,17.5,12.353,103,0,20.551,1155000000
P08514,"Integrin alpha-IIb;Integrin alpha-IIb heavy chain;Integrin alpha-IIb light chain, form 1;Integrin alpha-IIb light chain, form 2",ITGA2B,3,3.7,103.22,953,0,3.3946,36405000
P08519,Apolipoprotein(a),LPA,12,29.3,501.31,4548,0,77.855,1098900000
P08567,Pleckstrin,PLEK,13,47.4,40.124,350,0,323.31,3664900000
P08571,"Monocyte differentiation antigen CD14;Monocyte differentiation antigen CD14, urinary form;Monocyte differentiation antigen CD14, membrane-bound form",CD14,16,48.5,40.076,375,0,323.31,66740000000
P08572,Collagen alpha-2(IV) chain;Canstatin,COL4A2,2,1.6,167.55,1712,0,9.347,87232000
P08581,Hepatocyte growth factor receptor,MET,23,22.7,155.54,1390,0,233.06,2224100000
P08582,Melanotransferrin,MFI2,7,13.6,80.214,738,0,25.103,137630000
P08648,Integrin alpha-5;Integrin alpha-5 heavy chain;Integrin alpha-5 light chain,ITGA5,6,7.3,114.54,1049,0,12.883,105020000
P08697,Alpha-2-antiplasmin,SERPINF2,10,22.8,54.565,491,0,185.98,1645000000
P08758,Annexin A5;Annexin,ANXA5,15,52.5,35.936,320,0,52.082,845130000
P08887,Interleukin-6 receptor subunit alpha,IL6R,7,19.7,40.237,365,0,100.1,827200000
P09110,"3-ketoacyl-CoA thiolase, peroxisomal",ACAA1,3,10.6,44.292,424,0,6.9128,40137000
P09172,Dopamine beta-hydroxylase;Soluble dopamine beta-hydroxylase,DBH,27,61.1,69.064,617,0,323.31,39540000000
P09211,Glutathione S-transferase P,GSTP1,10,54.8,23.356,210,0,183.77,1205200000
P09326,CD48 antigen,CD48,4,23.1,19.429,169,0,3.6562,127950000
P09382,Galectin-1,LGALS1,5,40,14.716,135,0,41.257,148850000
P09417,Dihydropteridine reductase,QDPR,5,28.2,22.408,213,0,11.348,149630000
P09467,"Fructose-1,6-bisphosphatase 1",FBP1,9,34.9,36.842,338,0,125.99,636030000
P09486,SPARC,SPARC,11,37.3,34.632,303,0,137.69,1203600000
P09488,Glutathione S-transferase Mu 1;Glutathione S-transferase Mu 4,GSTM1;GSTM4,3,24.3,25.712,218,0,9.4661,63128000
P09493,Tropomyosin alpha-1 chain,TPM1,3,47.5,32.816,284,0,3.4388,160950000
P09603,Macrophage colony-stimulating factor 1;Processed macrophage colony-stimulating factor 1,CSF1,5,20.7,29.215,256,0,30.176,225350000
P09619,Platelet-derived growth factor receptor beta,PDGFRB,13,14.1,123.97,1106,0,71.844,1796000000
P09622,"Dihydrolipoyl dehydrogenase, mitochondrial;Dihydrolipoyl dehydrogenase",DLD,13,34.8,54.177,509,0,117.52,1006400000
P09668,Pro-cathepsin H;Cathepsin H mini chain;Cathepsin H;Cathepsin H heavy chain;Cathepsin H light chain,CTSH,3,10.4,37.393,335,0,5.5395,228480000
P09871,Complement C1s subcomponent;Complement C1s subcomponent heavy chain;Complement C1s subcomponent light chain,C1S,38,65.6,76.684,688,0,323.31,3.0839E+11
P09960,Leukotriene A-4 hydrolase,LTA4H,28,52,69.284,611,0,323.31,4520300000
P09972,Fructose-bisphosphate aldolase C;Fructose-bisphosphate aldolase,ALDOC,10,48.9,39.455,364,0,107.01,1559600000
P0A6F5,60 kDa chaperonin,groL,3,5.3,57.328,548,0,7.331,96939000
P0C0L4,Complement C4-A;Complement C4 beta chain;Complement C4-A alpha chain;C4a anaphylatoxin;C4b-A;C4d-A;Complement C4 gamma chain,C4A,17,16.2,187.7,1698,0,323.31,30052000000
P0CG05,Ig lambda-2 chain C regions;Ig lambda-3 chain C regions,IGLC2;IGLC3,9,93.4,11.293,106,0,323.31,3.0085E+11
P0DJD8,Pepsin A-3;Pepsin A-5;Pepsin A-4,PGA3;PGA5;PGA4,5,8.8,41.976,388,0,2.9015,825160000
P0DJI8,Serum amyloid A-1 protein;Amyloid protein A;Serum amyloid protein A(2-104);Serum amyloid protein A(3-104);Serum amyloid protein A(2-103);Serum amyloid protein A(2-102);Serum amyloid protein A(4-101);Serum amyloid A protein;Serum amyloid A-2 protein,SAA1;SAA2,2,20.5,13.532,122,0,4.2984,55012000
P10153,Non-secretory ribonuclease,RNASE2,4,21.1,18.354,161,0,21.055,1743100000
P10316,"HLA class I histocompatibility antigen, A-69 alpha chain;HLA class I histocompatibility antigen, A-2 alpha chain;HLA class I histocompatibility antigen, A-68 alpha chain",HLA-A,2,27.9,40.976,365,0,4.2839,31697000
P10451,Osteopontin,SPP1,6,28,33.843,300,0,173.16,760110000
P10586,Receptor-type tyrosine-protein phosphatase F,PTPRF,43,30.7,211.68,1898,0,323.31,4990700000
P10599,Thioredoxin,TXN,6,54.3,11.737,105,0,9.0201,1024300000
P10643,Complement component C7,C7,15,22.4,93.517,843,0,175.35,807220000
P10645,Chromogranin-A;Vasostatin-1;Vasostatin-2;EA-92;ES-43;Pancreastatin;SS-18;WA-8;WE-14;LF-19;Catestatin;AL-11;GV-19;GR-44;ER-37;GE-25;Serpinin-RRG;Serpinin;p-Glu serpinin precursor,CHGA,23,55.1,50.688,457,0,323.31,4355800000
P10646,Tissue factor pathway inhibitor,TFPI,6,22,35.015,304,0,27.587,186150000
P10720,Platelet factor 4 variant;Platelet factor 4 variant(4-74);Platelet factor 4 variant(5-74);Platelet factor 4 variant(6-74),PF4V1,5,55.8,11.553,104,0,38.71,2763900000
P10721,Mast/stem cell growth factor receptor Kit,KIT,18,21.1,109.45,972,0,270.67,11557000000
P10768,S-formylglutathione hydrolase,ESD,5,22,31.462,282,0,16.682,174390000
P10909,Clusterin;Clusterin beta chain;Clusterin alpha chain,CLU,30,58.4,48.803,416,0,323.31,4.6326E+11
P10912,Growth hormone receptor;Growth hormone-binding protein,GHR,5,20.4,33.888,294,0,72.074,432620000
P11021,78 kDa glucose-regulated protein,HSPA5,32,52.1,72.332,654,0,323.31,28643000000
P11047,Laminin subunit gamma-1,LAMC1,29,24.1,177.6,1609,0,182.12,1516900000
P11142,Heat shock cognate 71 kDa protein,HSPA8,24,48.5,70.897,646,0,130.81,4796200000
P11150,Hepatic triacylglycerol lipase,LIPC,6,16.8,55.914,499,0,31.571,189040000
P11216,"Glycogen phosphorylase, brain form",PYGB,6,12.8,96.695,843,0,16.321,93989000
P11217,"Glycogen phosphorylase, muscle form",PYGM,2,9.5,97.091,842,0,3.4335,95361000
P11226,Mannose-binding protein C,MBL2,13,57.3,26.143,248,0,314.78,11351000000
P11279,Lysosome-associated membrane glycoprotein 1,LAMP1,7,17.5,44.882,417,0,112.52,4499300000
P11362,Fibroblast growth factor receptor 1;Fibroblast growth factor receptor,FGFR1,8,12.9,73.274,660,0,31.367,2491500000
P11413,Glucose-6-phosphate 1-dehydrogenase,G6PD,2,3.3,59.256,515,0.0040888,1.6951,14222000
P11597,Cholesteryl ester transfer protein,CETP,17,46,54.756,493,0,300.08,4499700000
P11684,Uteroglobin,SCGB1A1,4,50.5,9.9937,91,0,33.995,878240000
P11717,Cation-independent mannose-6-phosphate receptor,IGF2R,90,48.6,274.37,2491,0,323.31,24767000000
P11766,Alcohol dehydrogenase class-3,ADH5,4,12.3,39.724,374,0,22.515,78294000
P12104,"Fatty acid-binding protein, intestinal",FABP2,2,22.7,15.207,132,0,6.2513,32223000
P12109,Collagen alpha-1(VI) chain,COL6A1,25,33.4,108.53,1028,0,301.71,4359400000
P12110,Collagen alpha-2(VI) chain,COL6A2,14,15.8,108.58,1019,0,47.372,958630000
P12111,Collagen alpha-3(VI) chain,COL6A3,112,42.8,343.67,3177,0,323.31,31541000000
P12259,Coagulation factor V;Coagulation factor V heavy chain;Coagulation factor V light chain,F5,90,41,251.7,2224,0,323.31,1.3605E+11
P12273,Prolactin-inducible protein,PIP,2,21.2,16.572,146,0,3.9539,8682300
P12277,Creatine kinase B-type,CKB,4,15.7,42.644,381,0,9.3262,21111000
P12318,Low affinity immunoglobulin gamma Fc region receptor II-a,FCGR2A,4,20.3,34.929,316,0,119.99,6255500000
P12532,"Creatine kinase U-type, mitochondrial",CKMT1A;CKMT1B,2,7.4,47.036,417,0,4.7756,19098000
P12814,Alpha-actinin-1,ACTN1,49,60.5,102.71,887,0,323.31,9074100000
P12821,"Angiotensin-converting enzyme;Angiotensin-converting enzyme, soluble form",ACE,38,35.7,149.71,1306,0,323.31,4358700000
P12830,Cadherin-1;E-Cad/CTF1;E-Cad/CTF2;E-Cad/CTF3,CDH1,14,17.7,97.455,882,0,214.29,4607800000
P12883,Myosin-7;Myosin-6,MYH7;MYH6,12,7.2,223.09,1935,0,36.129,182460000
P12955,Xaa-Pro dipeptidase,PEPD,26,64.9,54.548,493,0,323.31,39628000000
P13473,Lysosome-associated membrane glycoprotein 2,LAMP2,5,13.4,44.955,410,0,122.58,6714400000
P13489,Ribonuclease inhibitor,RNH1,20,60.5,49.973,461,0,323.31,1694100000
P13497,Bone morphogenetic protein 1,BMP1,12,13,111.25,986,0,48.79,232440000
P13521,Secretogranin-2;Secretoneurin;Manserin,SCG2,2,6,70.94,617,0,3.3583,19365000
P13591,Neural cell adhesion molecule 1,NCAM1,32,49.4,80.311,726,0,323.31,35811000000
P13611,Versican core protein,VCAN,10,2.9,369.68,3370,0,17.998,407690000
P13639,Elongation factor 2,EEF2,11,17.2,95.337,858,0,55.846,144800000
P13667,Protein disulfide-isomerase A4,PDIA4,25,41.6,72.932,645,0,305.25,2212900000
P13686,Tartrate-resistant acid phosphatase type 5,ACP5,4,14.2,36.598,325,0,10.41,84002000
P13688,Carcinoembryonic antigen-related cell adhesion molecule 1,CEACAM1,6,19.2,45.95,417,0,126.99,445310000
P13716,Delta-aminolevulinic acid dehydratase,ALAD,7,23.9,36.294,330,0,33.889,302590000
P13727,Bone marrow proteoglycan;Eosinophil granule major basic protein,PRG2,11,55.9,25.205,222,0,133.21,6456900000
P13796,Plastin-2,LCP1,43,75.6,70.288,627,0,323.31,79456000000
P13797,Plastin-3,PLS3,19,44.3,70.81,630,0,183.99,923540000
P13929,Beta-enolase,ENO3,4,24.3,42.248,391,0,138.32,235800000
P14151,L-selectin,SELL,12,26.9,42.187,372,0,323.31,45410000000
P14174,Macrophage migration inhibitory factor,MIF,2,17.4,12.476,115,0,3.0163,325680000
P14207,Folate receptor beta,FOLR2,8,31.4,29.279,255,0,80.369,920750000
P14209,CD99 antigen,CD99,2,12.4,17.128,169,0,3.761,14889000
P14222,Perforin-1,PRF1,8,19.3,61.377,555,0,74.444,218450000
P14324,Farnesyl pyrophosphate synthase,FDPS,5,19.3,40.532,353,0,26.662,194080000
P14384,Carboxypeptidase M,CPM,11,31.6,50.513,443,0,65.014,605240000
P14543,Nidogen-1,NID1,48,50,136.38,1247,0,323.31,11802000000
P14550,Alcohol dehydrogenase [NADP(+)],AKR1A1,11,44.6,36.573,325,0,66.718,230420000
P14618,Pyruvate kinase PKM;Pyruvate kinase,PKM,24,59.1,57.936,531,0,249.52,2249200000
P14625,Endoplasmin,HSP90B1,45,53.5,92.468,803,0,323.31,17146000000
P14780,Matrix metalloproteinase-9;67 kDa matrix metalloproteinase-9;82 kDa matrix metalloproteinase-9,MMP9,11,22.2,78.457,707,0,26.792,232230000
P15085,Carboxypeptidase A1,CPA1,16,45.6,47.14,419,0,323.31,1311800000
P15086,Carboxypeptidase B,CPB1,11,36.2,47.367,417,0,47.302,420270000
P15090,"Fatty acid-binding protein, adipocyte",FABP4,4,40.9,14.719,132,0,140.51,597060000
P15121,Aldose reductase,AKR1B1,6,22.8,35.853,316,0,33.99,140360000
P15144,Aminopeptidase N,ANPEP,48,50.5,109.54,967,0,323.31,39532000000
P15151,Poliovirus receptor,PVR,8,28,39.304,364,0,65.918,12472000000
P15169,Carboxypeptidase N catalytic chain,CPN1,22,55.9,52.286,458,0,323.31,2.0956E+11
P15289,Arylsulfatase A;Arylsulfatase A component B;Arylsulfatase A component C,ARSA,6,22.9,44.881,423,0,71.022,496460000
P15291,"Beta-1,4-galactosyltransferase 1;Lactose synthase A protein;N-acetyllactosamine synthase;Beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase;Beta-N-acetylglucosaminyl-glycolipid beta-1,4-galactosyltransferase;Processed beta-1,4-galactosyltransferase 1",B4GALT1,11,49.6,42.537,385,0,135.19,1210600000
P15311,Ezrin,EZR,16,42.2,69.412,586,0,73.775,784330000
P15529,Membrane cofactor protein,CD46,4,11.5,39.313,348,0,5.5362,409020000
P15813,Antigen-presenting glycoprotein CD1d,CD1D,2,11.9,37.717,335,0,4.2083,27471000
P15814,Immunoglobulin lambda-like polypeptide 1,IGLL1,2,22.1,22.963,213,0,31.488,129160000
P15907,"Beta-galactoside alpha-2,6-sialyltransferase 1",ST6GAL1,4,11.8,46.604,406,0,43.706,132510000
P16035,Metalloproteinase inhibitor 2,TIMP2,9,38.6,24.399,220,0,108.76,5645500000
P16070,CD44 antigen,CD44,5,16,32.074,294,0,63.491,26919000000
P16083,Ribosyldihydronicotinamide dehydrogenase [quinone],NQO2,5,36.4,25.918,231,0,62.743,91099000
P16152,Carbonyl reductase [NADPH] 1,CBR1,7,33.6,30.375,277,0,29.943,188530000
P16190,"HLA class I histocompatibility antigen, A-33 alpha chain;HLA class I histocompatibility antigen, A-31 alpha chain;HLA class I histocompatibility antigen, A-74 alpha chain;HLA class I histocompatibility antigen, A-29 alpha chain;HLA class I histocompatibility antigen, A-32 alpha chain",HLA-A,9,36.7,40.891,365,0,19.65,674740000
P16233,Pancreatic triacylglycerol lipase,PNLIP,15,46,51.156,465,0,67.036,365280000
P16278,Beta-galactosidase,GLB1,6,11.6,72.75,647,0,13.706,44762000
P16284,Platelet endothelial cell adhesion molecule,PECAM1,18,31.2,80.206,717,0,142.3,992120000
P16581,E-selectin,SELE,8,16.2,66.655,610,0,29.861,442880000
P16870,Carboxypeptidase E,CPE,6,15.9,49.885,440,0,21.411,63207000
P16930,Fumarylacetoacetase,FAH,21,65.2,46.374,419,0,321.75,7470200000
P16949,Stathmin,STMN1,4,22.8,17.302,149,0,2.7552,57260000
P17050,Alpha-N-acetylgalactosaminidase,NAGA,9,27,46.564,411,0,29.427,376530000
P17174,"Aspartate aminotransferase, cytoplasmic",GOT1,18,49.4,46.247,413,0,189.44,2841300000
P17181,Interferon alpha/beta receptor 1,IFNAR1,4,9.2,49.546,434,0,4.9962,91732000
P17301,Integrin alpha-2,ITGA2,9,7.5,129.29,1181,0,51.023,142910000
P17405,Sphingomyelin phosphodiesterase,SMPD1,6,11.6,69.623,628,0,10.57,94326000
P17655,Calpain-2 catalytic subunit,CAPN2,4,9.1,79.994,700,0,5.341,38704000
P17813,Endoglin,ENG,16,25.8,67.541,625,0,181.53,9730900000
P17900,Ganglioside GM2 activator;Ganglioside GM2 activator isoform short,GM2A,7,45.1,20.838,193,0,43.842,1513400000
P17936,Insulin-like growth factor-binding protein 3,IGFBP3,24,55.3,31.674,291,0,282.97,97179000000
P18065,Insulin-like growth factor-binding protein 2,IGFBP2,17,48.6,34.814,325,0,246.75,18397000000
P18136,Ig kappa chain V-III region HIC,,3,62,14.089,129,0,123.51,829020000
P18206,Vinculin,VCL,85,75.1,116.72,1066,0,323.31,55549000000
P18428,Lipopolysaccharide-binding protein,LBP,13,32.2,53.383,481,0,90.506,1421300000
P18669,Phosphoglycerate mutase 1,PGAM1,11,52,28.804,254,0,113.96,1967000000
P18850,Cyclic AMP-dependent transcription factor ATF-6 alpha;Processed cyclic AMP-dependent transcription factor ATF-6 alpha,ATF6,7,8.5,74.584,670,0,30.947,1752500000
P19021,Peptidyl-glycine alpha-amidating monooxygenase;Peptidylglycine alpha-hydroxylating monooxygenase;Peptidyl-alpha-hydroxyglycine alpha-amidating lyase,PAM,25,34.3,106.27,955,0,235.62,2504600000
P19022,Cadherin-2,CDH2,15,22.1,99.808,906,0,182.55,2743800000
P19320,Vascular cell adhesion protein 1,VCAM1,36,61.2,81.275,739,0,323.31,25403000000
P19440,Gamma-glutamyltranspeptidase 1;Gamma-glutamyltranspeptidase 1 heavy chain;Gamma-glutamyltranspeptidase 1 light chain;Putative gamma-glutamyltranspeptidase 3;Putative gamma-glutamyltranspeptidase 3 heavy chain;Putative gamma-glutamyltranspeptidase 3 light chain;Inactive gamma-glutamyltranspeptidase 2,GGT1;GGT2;GGT3P,9,18.6,61.409,569,0,34.29,551800000
P19652,Alpha-1-acid glycoprotein 2,ORM2,15,56.2,23.602,201,0,136.73,24411000000
P19827,Inter-alpha-trypsin inhibitor heavy chain H1,ITIH1,18,30.7,101.39,911,0,147.72,990430000
P19883,Follistatin,FST,3,11.7,34.803,317,0,3.9292,49567000
P19961,Alpha-amylase 2B,AMY2B,2,53.6,57.709,511,0,28.459,59330000
P19971,Thymidine phosphorylase,TYMP,3,8.9,49.955,482,0,5.7301,16452000
P20023,Complement receptor type 2,CR2,24,25.5,118.28,1084,0,155.11,3493700000
P20061,Transcobalamin-1,TCN1,10,28.4,48.206,433,0,247.37,1149000000
P20138,Myeloid cell surface antigen CD33,CD33,2,8.1,33.889,310,0,6.7662,101810000
P20142,Gastricsin,PGC,2,5.2,42.425,388,0,3.3031,87555000
P20618,Proteasome subunit beta type-1,PSMB1,7,42.7,26.489,241,0,117.69,474920000
P20700,Lamin-B1,LMNB1,4,8.4,66.408,586,0,8.4551,179380000
P20701,Integrin alpha-L,ITGAL,3,3.3,119.22,1086,0,5.3507,39077000
P20742,Pregnancy zone protein,PZP,41,41,163.86,1482,0,323.31,51806000000
P20774,Mimecan,OGN,12,41.6,33.922,298,0,164.57,3552600000
P20827,"Ephrin-A1;Ephrin-A1, secreted form",EFNA1,2,8.8,23.787,205,0,2.7402,133060000
P20851,C4b-binding protein beta chain,C4BPB,6,21.1,28.286,251,0,48.19,283660000
P20908,Collagen alpha-1(V) chain,COL5A1,7,4.9,183.56,1838,0,48.116,742370000
P20933,N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase;Glycosylasparaginase alpha chain;Glycosylasparaginase beta chain,AGA,7,28.9,37.208,346,0,123.27,2135100000
P21266,Glutathione S-transferase Mu 3,GSTM3,3,18.2,26.559,225,0,32.28,55584000
P21333,Filamin-A,FLNA,100,50.9,280.01,2639,0,323.31,7966300000
P21399,Cytoplasmic aconitate hydratase;Aconitate hydratase,ACO1;IRP1,17,25.6,98.398,889,0,87.316,447940000
P21583,Kit ligand;Soluble KIT ligand,KITLG,3,11.8,27.867,245,0,17.068,118510000
P21695,"Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic",GPD1,3,10.1,35.139,326,0,8.0927,41749000
P21709,Ephrin type-A receptor 1,EPHA1,13,18.4,108.13,976,0,113.87,714700000
P21810,Biglycan,BGN,4,12.2,41.654,368,0,14.361,170480000
P22105,Tenascin-X,TNXB,114,36.7,464.32,4289,0,323.31,89339000000
P22304,Iduronate 2-sulfatase;Iduronate 2-sulfatase 42 kDa chain;Iduronate 2-sulfatase 14 kDa chain,IDS,13,29.8,61.872,550,0,89.238,789860000
P22314,Ubiquitin-like modifier-activating enzyme 1,UBA1,22,30.3,113.8,1018,0,116.77,622190000
P22352,Glutathione peroxidase 3,GPX3,13,57.1,25.552,226,0,323.31,1.1E+11
P22413,Ectonucleotide pyrophosphatase/phosphodiesterase family member 1;Alkaline phosphodiesterase I;Nucleotide pyrophosphatase,ENPP1,7,9.4,104.92,925,0,20.825,159870000
P22607,Fibroblast growth factor receptor 3;Fibroblast growth factor receptor,FGFR3,4,6.8,88.156,808,0,5.3995,56153000
P22626,Heterogeneous nuclear ribonucleoproteins A2/B1,HNRNPA2B1,4,13.8,36.006,341,0,6.7101,80132000
P22692,Insulin-like growth factor-binding protein 4,IGFBP4,10,41.5,27.934,258,0,127.27,13270000000
P22748,Carbonic anhydrase 4,CA4,3,9,35.032,312,0,3.8763,122560000
P22792,Carboxypeptidase N subunit 2,CPN2,19,42.4,60.556,545,0,323.31,3.0626E+11
P22891,Vitamin K-dependent protein Z,PROZ,17,49,44.743,400,0,323.31,1.1895E+11
P22897,Macrophage mannose receptor 1,MRC1,59,44.1,166.01,1456,0,323.31,16181000000
P23083,Ig heavy chain V-I region V35,,4,41.9,13.009,117,0,33.244,4738000000
P23141,Liver carboxylesterase 1,CES1,25,50.4,62.392,566,0,195.96,2592800000
P23142,Fibulin-1,FBLN1,8,54.6,77.213,703,0,263.27,8436100000
P23284,Peptidyl-prolyl cis-trans isomerase B,PPIB,11,54.2,23.742,216,0,47.875,3525000000
P23381,"Tryptophan--tRNA ligase, cytoplasmic;T1-TrpRS;T2-TrpRS",WARS,15,42.3,53.165,471,0,168.96,1990700000
P23435,Cerebellin-1;Cerebellin;[des-Ser1]-cerebellin,CBLN1,3,39.9,21.097,193,0,27.399,90133000
P23468,Receptor-type tyrosine-protein phosphatase delta;Protein-tyrosine-phosphatase,PTPRD,7,6.5,214.76,1912,0,28.572,127900000
P23470,Receptor-type tyrosine-protein phosphatase gamma,PTPRG,13,11.4,158.77,1416,0,155.6,4744400000
P23471,Receptor-type tyrosine-protein phosphatase zeta,PTPRZ1,7,5.4,162.66,1448,0,54.529,308310000
P24043,Laminin subunit alpha-2,LAMA2,71,27.3,343.9,3122,0,323.31,5179100000
P24298,Alanine aminotransferase 1,GPT,17,49,54.636,496,0,88.124,1507100000
P24387,Corticotropin-releasing factor-binding protein,CRHBP,12,38.2,36.144,322,0,114.73,1640200000
P24592,Insulin-like growth factor-binding protein 6,IGFBP6,8,49.2,25.322,240,0,163.09,8030600000
P24593,Insulin-like growth factor-binding protein 5,IGFBP5,16,59.9,30.57,272,0,297.65,14878000000
P24821,Tenascin,TNC,57,35.4,230.86,2110,0,323.31,6473500000
P25311,Zinc-alpha-2-glycoprotein,AZGP1,28,69.5,34.258,298,0,323.31,7.5063E+11
P25325,3-mercaptopyruvate sulfurtransferase;Sulfurtransferase,MPST,3,11.4,35.249,317,0,2.3245,74490000
P25391,Laminin subunit alpha-1,LAMA1,2,0.3,337.08,3075,0.0006135,2.1711,428780000
P25445,Tumor necrosis factor receptor superfamily member 6,FAS,6,19.1,35.386,314,0,18.874,123830000
P25774,Cathepsin S,CTSS,3,13.2,31.626,281,0,12.054,150650000
P25786,Proteasome subunit alpha type-1;Proteasome subunit alpha type,PSMA1,10,42.6,29.555,263,0,105.75,602880000
P25787,Proteasome subunit alpha type-2,PSMA2,5,26.5,25.898,234,0,193.93,606040000
P25788,Proteasome subunit alpha type-3,PSMA3,6,25.4,27.647,248,0,11.529,275700000
P25789,Proteasome subunit alpha type-4;Proteasome subunit alpha type,PSMA4,7,33.7,29.483,261,0,47.616,540370000
