Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
P41091;Q2VIR3	P41091;Q2VIR3	8;7	8;7	8;7	Eukaryotic translation initiation factor 2 subunit 3;Putative eukaryotic translation initiation factor 2 subunit 3-like protein	EIF2S3;EIF2S3L	sp|P41091|IF2G_HUMAN Eukaryotic translation initiation factor 2 subunit 3 OS=Homo sapiens OX=9606 GN=EIF2S3 PE=1 SV=3;sp|Q2VIR3|IF2GL_HUMAN Eukaryotic translation initiation factor 2 subunit 3B OS=Homo sapiens OX=9606 GN=EIF2S3B PE=2 SV=2	2	8	8	8	25.6	25.6	25.6	51.109	472	472;472	0	54.93	3593100	9				476	136;1918;2350;2983;3307;3799;3857;5050	True;True;True;True;True;True;True;True	138;1945;2383;3023;3354;3847;3905;5111	162;2213;2707;3436;3812;4369;4431;5851	261;3523;3524;4318;5419;6000;6864;6949;9354	261;3523;4318;5419;6000;6864;6949;9354		
Q6NXS1;P41236	Q6NXS1;P41236	1;1	1;1	1;1	Protein phosphatase inhibitor 2-like protein 3;Protein phosphatase inhibitor 2	PPP1R2P3;PPP1R2	sp|Q6NXS1|IPP2B_HUMAN Protein phosphatase inhibitor 2 family member B OS=Homo sapiens OX=9606 GN=PPP1R2B PE=1 SV=2;sp|P41236|IPP2_HUMAN Protein phosphatase inhibitor 2 OS=Homo sapiens OX=9606 GN=PPP1R2 PE=1 SV=2	2	1	1	1	7.3	7.3	7.3	23.106	205	205;205	0.00095969	6.149	24499	1				477	4306	True	4358	4993	7906	7906		
P41250	P41250	11	11	11	Glycine--tRNA ligase	GARS	sp|P41250|GARS_HUMAN Glycine--tRNA ligase OS=Homo sapiens OX=9606 GN=GARS1 PE=1 SV=3	1	11	11	11	22.1	22.1	22.1	83.165	739	739	0	74.371	10664000	21				478	1337;2220;2731;2862;3423;3632;4153;4251;4308;4349;5060	True;True;True;True;True;True;True;True;True;True;True	1358;2251;2768;2902;3471;3680;4205;4303;4360;4401;5121	1528;2563;2564;3154;3305;3949;4180;4794;4934;4935;4995;5040;5862	2421;2422;4107;4108;4109;5005;5220;6229;6582;6583;7556;7557;7815;7816;7817;7818;7908;7909;7984;7985;9372	2421;4108;5005;5220;6229;6582;7557;7816;7909;7984;9372		
P41252	P41252	11	11	11	Isoleucine--tRNA ligase, cytoplasmic	IARS	sp|P41252|SYIC_HUMAN Isoleucine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=IARS1 PE=1 SV=2	1	11	11	11	12.5	12.5	12.5	144.5	1262	1262	0	92.328	6547200	14				479	729;849;1381;1393;2282;2586;2613;2762;2904;3831;4983	True;True;True;True;True;True;True;True;True;True;True	744;866;1402;1415;2314;2621;2648;2799;2944;3879;5042	842;980;1577;1590;2633;2987;3020;3189;3352;4404;5775	1350;1590;2496;2513;4215;4216;4739;4801;5051;5052;5287;6911;6912;9233	1350;1590;2496;2513;4216;4739;4801;5052;5287;6911;9233		
P41567;O60739	P41567;O60739	3;2	3;2	3;2	Eukaryotic translation initiation factor 1;Eukaryotic translation initiation factor 1b	EIF1;EIF1B	sp|P41567|EIF1_HUMAN Eukaryotic translation initiation factor 1 OS=Homo sapiens OX=9606 GN=EIF1 PE=1 SV=1;sp|O60739|EIF1B_HUMAN Eukaryotic translation initiation factor 1b OS=Homo sapiens OX=9606 GN=EIF1B PE=1 SV=2	2	3	3	3	45.1	45.1	45.1	12.732	113	113;113	0	25.313	1707800	3				480	1138;3337;4247	True;True;True	1157;3384;4299	1303;3846;4928	2064;6045;7802	2064;6045;7802		
P42166	P42166	3	3	3	Lamina-associated polypeptide 2, isoform alpha;Thymopoietin;Thymopentin	TMPO	sp|P42166|LAP2A_HUMAN Lamina-associated polypeptide 2, isoform alpha OS=Homo sapiens OX=9606 GN=TMPO PE=1 SV=2	1	3	3	3	6.5	6.5	6.5	75.491	694	694	0	22.732	978010	4				481	3088;3838;4021	True;True;True	3128;3886;4072	3557;4411;4624	5624;6922;7271;7272	5624;6922;7271		
P42224	P42224	2	2	2	Signal transducer and activator of transcription 1-alpha/beta	STAT1	sp|P42224|STAT1_HUMAN Signal transducer and activator of transcription 1-alpha/beta OS=Homo sapiens OX=9606 GN=STAT1 PE=1 SV=2	1	2	2	2	4.3	4.3	4.3	87.334	750	750	0	14.563	881130	2				482	1246;1277	True;True	1267;1298	1436;1467	2277;2326	2277;2326		
P42285	P42285	1	1	1	Superkiller viralicidic activity 2-like 2	SKIV2L2	sp|P42285|MTREX_HUMAN Exosome RNA helicase MTR4 OS=Homo sapiens OX=9606 GN=MTREX PE=1 SV=3	1	1	1	1	1.2	1.2	1.2	117.8	1042	1042	0.001004	6.5	192030	1				483	4856	True	4914	5632	8980	8980		
P42677;Q71UM5	P42677;Q71UM5	3;2	3;2	3;2	40S ribosomal protein S27;40S ribosomal protein S27-like	RPS27;RPS27L	sp|P42677|RS27_HUMAN 40S ribosomal protein S27 OS=Homo sapiens OX=9606 GN=RPS27 PE=1 SV=3;sp|Q71UM5|RS27L_HUMAN 40S ribosomal protein S27-like OS=Homo sapiens OX=9606 GN=RPS27L PE=1 SV=3	2	3	3	3	38.1	38.1	38.1	9.461	84	84;84	0	18.788	1629800	4				484	634;2965;3038	True;True;True	646;3005;3078	736;3416;3503	1185;5389;5537;5538	1185;5389;5538		
P42704	P42704	20	20	20	Leucine-rich PPR motif-containing protein, mitochondrial	LRPPRC	sp|P42704|LPPRC_HUMAN Leucine-rich PPR motif-containing protein, mitochondrial OS=Homo sapiens OX=9606 GN=LRPPRC PE=1 SV=3	1	20	20	20	20.6	20.6	20.6	157.9	1394	1394	0	165.38	10296000	25				485	478;601;732;1038;1501;1685;2518;2664;2895;3126;3246;3379;3578;3661;3821;4344;4546;4547;4913;4951	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	488;613;747;1056;1523;1711;2553;2701;2935;3166;3291;3426;3626;3709;3869;4396;4600;4601;4971;5009	561;700;845;1193;1705;1946;2915;3082;3343;3599;3733;3894;4121;4215;4394;5034;5270;5271;5272;5693;5694;5736	911;1134;1354;1898;2686;3088;4640;4897;5276;5683;5871;6112;6492;6640;6898;7974;8335;8336;8337;8338;9072;9073;9074;9075;9172	911;1134;1354;1898;2686;3088;4640;4897;5276;5683;5871;6112;6492;6640;6898;7974;8335;8338;9074;9172		
P42766	P42766	1	1	1	60S ribosomal protein L35	RPL35	sp|P42766|RL35_HUMAN 60S ribosomal protein L35 OS=Homo sapiens OX=9606 GN=RPL35 PE=1 SV=2	1	1	1	1	8.1	8.1	8.1	14.551	123	123	0.00125	9.4176	469840	3				486	4654	True	4710	5395	8517;8518;8519	8518		
P43243	P43243	8	8	8	Matrin-3	MATR3	sp|P43243|MATR3_HUMAN Matrin-3 OS=Homo sapiens OX=9606 GN=MATR3 PE=1 SV=2	1	8	8	8	11.5	11.5	11.5	94.622	847	847	0	55.756	2629000	9				487	1189;1476;1720;2319;2512;3984;4134;4784	True;True;True;True;True;True;True;True	1210;1498;1747;2352;2547;4035;4186;4841	1366;1680;1988;2674;2907;4581;4765;5545	2169;2650;3150;3151;4278;4614;4615;7204;7510;8805	2169;2650;3151;4278;4614;7204;7510;8805		
P43307	P43307	2	2	2	Translocon-associated protein subunit alpha	SSR1	sp|P43307|SSRA_HUMAN Translocon-associated protein subunit alpha OS=Homo sapiens OX=9606 GN=SSR1 PE=1 SV=3	1	2	2	2	8	8	8	32.235	286	286	0	17.164	1592900	4				488	1293;1766	True;True	1314;1793	1483;2035;2036	2346;3218;3219;3220	2346;3218		
P43487	P43487	2	2	2	Ran-specific GTPase-activating protein	RANBP1	sp|P43487|RANG_HUMAN Ran-specific GTPase-activating protein OS=Homo sapiens OX=9606 GN=RANBP1 PE=1 SV=1	1	2	2	2	16.9	16.9	16.9	23.31	201	201	0	18.617	11193000	8				489	413;4213	True;True	420;4265	481;482;4888	771;772;773;774;775;7738;7739;7740	775;7739		
P43490	P43490	16	16	16	Nicotinamide phosphoribosyltransferase	NAMPT	sp|P43490|NAMPT_HUMAN Nicotinamide phosphoribosyltransferase OS=Homo sapiens OX=9606 GN=NAMPT PE=1 SV=1	1	16	16	16	43.8	43.8	43.8	55.52	491	491	0	151.35	20845000	33				490	695;895;1488;1764;1815;1829;3260;4045;4266;4267;4566;4599;4822;4935;4943;5014	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	708;912;1510;1791;1842;1856;3305;3306;4096;4318;4319;4621;4654;4879;4993;5001;5073	801;1029;1030;1692;2033;2090;2109;3748;3749;3750;3751;4655;4952;4953;5297;5298;5332;5591;5719;5727;5808	1281;1282;1657;1658;2668;2669;3213;3214;3215;3328;3354;5893;5894;5895;5896;5897;5898;5899;7316;7317;7846;7847;7848;8376;8377;8378;8428;8911;9148;9149;9159;9160;9281	1282;1658;2668;3213;3328;3354;5898;7317;7846;7848;8377;8428;8911;9149;9159;9281	59	372
P43686	P43686	5	5	5	26S protease regulatory subunit 6B	PSMC4	sp|P43686|PRS6B_HUMAN 26S proteasome regulatory subunit 6B OS=Homo sapiens OX=9606 GN=PSMC4 PE=1 SV=2	1	5	5	5	25.6	25.6	25.6	47.366	418	418	0	37.81	4780400	8				491	1968;2190;2912;3128;3201	True;True;True;True;True	1996;2220;2952;3168;3243	2275;2530;3360;3601;3678	3633;4051;5300;5301;5302;5685;5686;5792	3633;4051;5300;5685;5792		
P45877	P45877	1	1	1	Peptidyl-prolyl cis-trans isomerase C	PPIC	sp|P45877|PPIC_HUMAN Peptidyl-prolyl cis-trans isomerase C OS=Homo sapiens OX=9606 GN=PPIC PE=1 SV=1	1	1	1	1	4.7	4.7	4.7	22.763	212	212	0.0009901	6.3942	150500	1				492	4278	True	4330	4964	7865	7865		
P45880	P45880	9	9	9	Voltage-dependent anion-selective channel protein 2	VDAC2	sp|P45880|VDAC2_HUMAN Voltage-dependent anion-selective channel protein 2 OS=Homo sapiens OX=9606 GN=VDAC2 PE=1 SV=2	1	9	9	9	41.8	41.8	41.8	31.566	294	294	0	73.053	10369000	18				493	1540;2979;3422;3553;3800;4685;4829;4878;5074	True;True;True;True;True;True;True;True;True	1564;3019;3470;3601;3848;4741;4886;4936;5135	1755;3431;3948;4090;4370;4371;5429;5598;5655;5656;5876	2764;2765;5411;5412;6227;6228;6442;6865;6866;8564;8565;8923;8924;9011;9012;9013;9395;9396	2765;5412;6227;6442;6866;8564;8923;9012;9396		
P46060	P46060	1	1	1	Ran GTPase-activating protein 1	RANGAP1	sp|P46060|RAGP1_HUMAN Ran GTPase-activating protein 1 OS=Homo sapiens OX=9606 GN=RANGAP1 PE=1 SV=1	1	1	1	1	2.4	2.4	2.4	63.541	587	587	0.0089526	5.5945	210100	1				494	2578	True	2613	2978	4726	4726		
P46063	P46063	2	2	2	ATP-dependent DNA helicase Q1	RECQL	sp|P46063|RECQ1_HUMAN ATP-dependent DNA helicase Q1 OS=Homo sapiens OX=9606 GN=RECQL PE=1 SV=3	1	2	2	2	5.2	5.2	5.2	73.457	649	649	0	13.16	426270	1				495	1348;4629	True;True	1369;4684	1541;5364	2438;8472	2438;8472		
P46109	P46109	1	1	1	Crk-like protein	CRKL	sp|P46109|CRKL_HUMAN Crk-like protein OS=Homo sapiens OX=9606 GN=CRKL PE=1 SV=1	1	1	1	1	5	5	5	33.777	303	303	0.0088417	5.5479	293050	1				496	2122	True	2151	2449	3924	3924		
P46776	P46776	3	3	3	60S ribosomal protein L27a	RPL27A	sp|P46776|RL27A_HUMAN 60S ribosomal protein L27a OS=Homo sapiens OX=9606 GN=RPL27A PE=1 SV=2	1	3	3	3	20.3	20.3	20.3	16.561	148	148	0	26.07	2637300	6				497	3067;3451;4976	True;True;True	3107;3499;5034	3535;3980;5764	5586;5587;5588;6277;6278;9211	5588;6278;9211		
P46777	P46777	6	6	6	60S ribosomal protein L5	RPL5	sp|P46777|RL5_HUMAN 60S ribosomal protein L5 OS=Homo sapiens OX=9606 GN=RPL5 PE=1 SV=3	1	6	6	6	30.6	30.6	30.6	34.362	297	297	0	39.769	2829000	9				498	1460;2073;2367;3470;5018;5019	True;True;True;True;True;True	1482;2101;2400;3518;5077;5078	1663;2394;2727;2728;4003;5812;5813	2628;3826;3827;4353;4354;4355;6314;9288;9289	2628;3826;4353;6314;9288;9289		
P46778	P46778	3	3	3	60S ribosomal protein L21	RPL21	sp|P46778|RL21_HUMAN 60S ribosomal protein L21 OS=Homo sapiens OX=9606 GN=RPL21 PE=1 SV=2	1	3	3	3	25	25	25	18.565	160	160	0	20.16	1863700	5				499	1783;4260;4819	True;True;True	1810;4312;4876	2053;4945;5588	3248;3249;7831;8905;8906	3248;7831;8906		
P46779	P46779	1	1	1	60S ribosomal protein L28	RPL28	sp|P46779|RL28_HUMAN 60S ribosomal protein L28 OS=Homo sapiens OX=9606 GN=RPL28 PE=1 SV=3	1	1	1	1	7.3	7.3	7.3	15.747	137	137	0.0011261	7.6441	2071500	2				500	3785	True	3833	4353	6839;6840	6840		
P46781	P46781	4	4	4	40S ribosomal protein S9	RPS9	sp|P46781|RS9_HUMAN 40S ribosomal protein S9 OS=Homo sapiens OX=9606 GN=RPS9 PE=1 SV=3	1	4	4	4	17.5	17.5	17.5	22.591	194	194	0	24.212	2565700	5				501	2539;2677;2918;3734	True;True;True;True	2574;2714;2958;3782	2937;3095;3366;4295	4674;4675;4916;5313;6753	4675;4916;5313;6753		
P46782	P46782	5	5	5	40S ribosomal protein S5;40S ribosomal protein S5, N-terminally processed	RPS5	sp|P46782|RS5_HUMAN 40S ribosomal protein S5 OS=Homo sapiens OX=9606 GN=RPS5 PE=1 SV=4	1	5	5	5	36.3	36.3	36.3	22.876	204	204	0	48.412	8558300	13				502	3591;4145;4179;4690;4891	True;True;True;True;True	3639;4197;4231;4747;4949	4136;4785;4849;4850;5438;5669	6517;6518;7539;7540;7669;7670;7671;7672;8583;8584;9028;9029;9030	6518;7539;7669;8584;9028		
P46783;Q9NQ39	P46783	4;1	4;1	4;1	40S ribosomal protein S10	RPS10	sp|P46783|RS10_HUMAN 40S ribosomal protein S10 OS=Homo sapiens OX=9606 GN=RPS10 PE=1 SV=1	2	4	4	4	32.1	32.1	32.1	18.898	165	165;176	0	32.126	8740400	8				503	77;777;1900;2018	True;True;True;True	78;793;1927;2046	87;895;2190;2334	130;131;132;1426;3488;3741;3742;3743	131;1426;3488;3743		
P46821	P46821	1	1	1	Microtubule-associated protein 1B;MAP1B heavy chain;MAP1 light chain LC1	MAP1B	sp|P46821|MAP1B_HUMAN Microtubule-associated protein 1B OS=Homo sapiens OX=9606 GN=MAP1B PE=1 SV=2	1	1	1	1	0.8	0.8	0.8	270.63	2468	2468	0.0090498	5.6425	82994	0				504	3377	True	3424	3891	6109	6109		
P46940	P46940	24	24	24	Ras GTPase-activating-like protein IQGAP1	IQGAP1	sp|P46940|IQGA1_HUMAN Ras GTPase-activating-like protein IQGAP1 OS=Homo sapiens OX=9606 GN=IQGAP1 PE=1 SV=1	1	24	24	24	21.8	21.8	21.8	189.25	1657	1657	0	171.9	11322000	28				505	207;347;841;1037;1154;1194;1225;1584;1805;1973;2106;2167;2241;2550;2566;2885;2961;2966;3148;3221;3495;3683;4225;5068	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	211;354;857;1055;1173;1215;1246;1610;1832;2001;2135;2197;2272;2585;2601;2925;3001;3006;3188;3263;3543;3731;4277;5129	245;408;971;1192;1321;1371;1406;1819;2077;2282;2431;2503;2504;2588;2948;2964;3333;3412;3417;3621;3701;4030;4239;4903;5870	388;664;665;1572;1573;1897;2089;2176;2234;2879;3288;3289;3658;3881;4010;4011;4142;4688;4708;5263;5382;5390;5714;5715;5823;6353;6354;6671;7758;9386	388;664;1572;1897;2089;2176;2234;2879;3289;3658;3881;4010;4142;4688;4708;5263;5382;5390;5715;5823;6354;6671;7758;9386		
P46977	P46977	2	2	2	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A	STT3A	sp|P46977|STT3A_HUMAN Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A OS=Homo sapiens OX=9606 GN=STT3A PE=1 SV=2	1	2	2	2	2.4	2.4	2.4	80.529	705	705	0	11.128	301100	2				506	1253;1268	True;True	1274;1289	1443;1458	2284;2314	2284;2314		
P47755	P47755	2	1	1	F-actin-capping protein subunit alpha-2	CAPZA2	sp|P47755|CAZA2_HUMAN F-actin-capping protein subunit alpha-2 OS=Homo sapiens OX=9606 GN=CAPZA2 PE=1 SV=3	1	2	1	1	9.8	6.3	6.3	32.949	286	286	0.0028463	5.9826	201900	0				507	1258;2774	True;False	1279;2811	1448;3202	2293;5069;5070	2293;5069		
P47756	P47756	3	3	3	F-actin-capping protein subunit beta	CAPZB	sp|P47756|CAPZB_HUMAN F-actin-capping protein subunit beta OS=Homo sapiens OX=9606 GN=CAPZB PE=1 SV=4	1	3	3	3	11.6	11.6	11.6	31.35	277	277	0	20.742	911500	3				508	779;2589;4038	True;True;True	795;2624;4089	897;2990;4646	1428;4742;7304	1428;4742;7304		
P47897	P47897	4	4	4	Glutamine--tRNA ligase	QARS	sp|P47897|SYQ_HUMAN Glutamine--tRNA ligase OS=Homo sapiens OX=9606 GN=QARS1 PE=1 SV=1	1	4	4	4	7	7	7	87.798	775	775	0	25.527	2325800	5				509	711;1557;1976;2196	True;True;True;True	724;1582;2004;2227	819;1788;2286;2537	1312;2837;2838;3664;3665;4061	1312;2838;3664;4061		
P47914	P47914	1	1	1	60S ribosomal protein L29	RPL29	sp|P47914|RL29_HUMAN 60S ribosomal protein L29 OS=Homo sapiens OX=9606 GN=RPL29 PE=1 SV=2	1	1	1	1	9.4	9.4	9.4	17.752	159	159	0.0011173	7.5879	165210	3				510	293	True	298	347	571;572;573	573		
P48047	P48047	4	4	4	ATP synthase subunit O, mitochondrial	ATP5O	sp|P48047|ATPO_HUMAN ATP synthase subunit O, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5PO PE=1 SV=1	1	4	4	4	24.9	24.9	24.9	23.277	213	213	0	30.485	1350800	5				511	1367;3039;4383;4924	True;True;True;True	1388;3079;4435;4982	1561;1562;3504;5080;5705	2468;2469;5539;8048;9094	2468;5539;8048;9094		
P48444	P48444	2	2	2	Coatomer subunit delta	ARCN1	sp|P48444|COPD_HUMAN Coatomer subunit delta OS=Homo sapiens OX=9606 GN=ARCN1 PE=1 SV=1	1	2	2	2	8.8	8.8	8.8	57.21	511	511	0	10.976	636970	3				512	2383;3465	True;True	2416;3513	2750;3996	4382;6300;6301	4382;6301		
P48643	P48643	12	12	12	T-complex protein 1 subunit epsilon	CCT5	sp|P48643|TCPE_HUMAN T-complex protein 1 subunit epsilon OS=Homo sapiens OX=9606 GN=CCT5 PE=1 SV=1	1	12	12	12	32.9	32.9	32.9	59.67	541	541	0	86.942	13495000	24				513	327;403;466;1074;1922;2010;2016;2537;3674;3688;3986;4899	True;True;True;True;True;True;True;True;True;True;True;True	333;334;410;476;1092;1949;2038;2044;2572;3722;3736;4037;4957	384;385;386;471;548;1231;1232;2219;2325;2331;2935;4228;4244;4584;5677;5678	628;629;630;631;632;633;759;893;1954;1955;1956;3540;3727;3736;4672;6657;6676;7208;9044;9045;9046;9047;9048;9049;9050	630;759;893;1955;3540;3727;3736;4672;6657;6676;7208;9046	60	4
Q8N752;P48729	Q8N752;P48729	1;1	1;1	1;1	Casein kinase I isoform alpha-like;Casein kinase I isoform alpha	CSNK1A1L;CSNK1A1	sp|Q8N752|KC1AL_HUMAN Casein kinase I isoform alpha-like OS=Homo sapiens OX=9606 GN=CSNK1A1L PE=2 SV=2;sp|P48729|KC1A_HUMAN Casein kinase I isoform alpha OS=Homo sapiens OX=9606 GN=CSNK1A1 PE=1 SV=2	2	1	1	1	3	3	3	39.085	337	337;337	0.0028409	5.9558	211920	1				514	2611	True	2646	3018	4798	4798		
P48739	P48739	1	1	1	Phosphatidylinositol transfer protein beta isoform	PITPNB	sp|P48739|PIPNB_HUMAN Phosphatidylinositol transfer protein beta isoform OS=Homo sapiens OX=9606 GN=PITPNB PE=1 SV=2	1	1	1	1	4.4	4.4	4.4	31.54	271	271	0.0090992	5.6603	410630	1				515	4336	True	4388	5026	7961	7961		
P49023	P49023	1	1	1	Paxillin	PXN	sp|P49023|PAXI_HUMAN Paxillin OS=Homo sapiens OX=9606 GN=PXN PE=1 SV=3	1	1	1	1	4.1	4.1	4.1	64.505	591	591	0.0090334	5.6359	290790	1				516	4365	True	4417	5061	8018	8018		
P49189	P49189	1	1	1	4-trimethylaminobutyraldehyde dehydrogenase	ALDH9A1	sp|P49189|AL9A1_HUMAN 4-trimethylaminobutyraldehyde dehydrogenase OS=Homo sapiens OX=9606 GN=ALDH9A1 PE=1 SV=3	1	1	1	1	3.2	3.2	3.2	53.801	494	494	0.0012048	8.822	331620	1				517	3979	True	4030	4574	7195	7195		
P49207	P49207	2	2	2	60S ribosomal protein L34	RPL34	sp|P49207|RL34_HUMAN 60S ribosomal protein L34 OS=Homo sapiens OX=9606 GN=RPL34 PE=1 SV=3	1	2	2	2	12.8	12.8	12.8	13.293	117	117	0	11.56	1298600	3				518	120;2361	True;True	121;2394	138;2718	209;210;4335	210;4335		
P49257	P49257	1	1	1	Protein ERGIC-53	LMAN1	sp|P49257|LMAN1_HUMAN Protein ERGIC-53 OS=Homo sapiens OX=9606 GN=LMAN1 PE=1 SV=2	1	1	1	1	6.3	6.3	6.3	57.548	510	510	0.0086957	5.5018	314390	1				519	3425	True	3473	3951	6231	6231		
P49327	P49327	19	19	19	Fatty acid synthase;[Acyl-carrier-protein] S-acetyltransferase;[Acyl-carrier-protein] S-malonyltransferase;3-oxoacyl-[acyl-carrier-protein] synthase;3-oxoacyl-[acyl-carrier-protein] reductase;3-hydroxyacyl-[acyl-carrier-protein] dehydratase;Enoyl-[acyl-carrier-protein] reductase;Oleoyl-[acyl-carrier-protein] hydrolase	FASN	sp|P49327|FAS_HUMAN Fatty acid synthase OS=Homo sapiens OX=9606 GN=FASN PE=1 SV=3	1	19	19	19	11.8	11.8	11.8	273.42	2511	2511	0	132.11	6736900	20				520	23;52;672;828;1168;1173;1184;1578;1682;1839;2594;2858;2921;3547;3832;3948;4775;4897;5087	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	23;52;685;844;1187;1192;1205;1604;1708;1866;2629;2898;2961;3595;3880;3998;4832;4955;5148	27;61;778;958;1335;1341;1361;1813;1943;2122;2995;3301;3369;4084;4405;4539;5536;5675;5889	39;96;1249;1250;1553;2110;2119;2163;2869;3083;3375;4747;5214;5316;6432;6433;6913;7120;8792;9040;9041;9411	39;96;1250;1553;2110;2119;2163;2869;3083;3375;4747;5214;5316;6432;6913;7120;8792;9040;9411		
P49368	P49368	13	13	13	T-complex protein 1 subunit gamma	CCT3	sp|P49368|TCPG_HUMAN T-complex protein 1 subunit gamma OS=Homo sapiens OX=9606 GN=CCT3 PE=1 SV=4	1	13	13	13	29	29	29	60.533	545	545	0	85.188	5168600	17				521	191;362;975;2109;2250;2338;2352;3255;3387;3574;4113;4226;4890	True;True;True;True;True;True;True;True;True;True;True;True;True	195;369;993;2138;2281;2371;2385;3300;3434;3622;4165;4278;4948	228;425;1130;2435;2597;2695;2709;3743;3902;4115;4742;4904;5668	362;689;690;1810;3894;4154;4304;4305;4321;5884;5885;5886;6124;6485;7473;7474;7759;9027	362;690;1810;3894;4154;4305;4321;5884;6124;6485;7474;7759;9027		
P49411	P49411	8	8	8	Elongation factor Tu, mitochondrial	TUFM	sp|P49411|EFTU_HUMAN Elongation factor Tu, mitochondrial OS=Homo sapiens OX=9606 GN=TUFM PE=1 SV=2	1	8	8	8	27	27	27	49.541	452	452	0	58.024	4568100	13				522	48;949;986;1629;3409;3639;4189;4357	True;True;True;True;True;True;True;True	48;967;1004;1655;3456;3687;4241;4409	57;1099;1141;1879;3928;4187;4188;4861;5052	87;88;1766;1826;2986;6162;6163;6592;6593;6594;7692;7693;8007	87;1766;1826;2986;6162;6594;7693;8007		
P49458	P49458	2	2	2	Signal recognition particle 9 kDa protein	SRP9	sp|P49458|SRP09_HUMAN Signal recognition particle 9 kDa protein OS=Homo sapiens OX=9606 GN=SRP9 PE=1 SV=2	1	2	2	2	22.1	22.1	22.1	10.112	86	86	0	14.291	1620000	3				523	3077;3563	True;True	3117;3611	3545;4102	5603;6461;6462	5603;6462		
P49588	P49588	21	21	21	Alanine--tRNA ligase, cytoplasmic	AARS	sp|P49588|SYAC_HUMAN Alanine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=AARS1 PE=1 SV=2	1	21	21	21	38.9	38.9	38.9	106.81	968	968	0	173.58	21006000	35				524	315;405;588;667;906;1583;1683;2304;2329;3094;3120;3155;3227;3301;3468;3492;3620;4203;4525;4795;5055	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	321;412;600;680;923;1609;1709;2336;2362;3134;3160;3197;3270;3348;3516;3540;3668;4255;4579;4852;5116	370;473;686;773;1046;1818;1944;2657;2685;3563;3564;3593;3630;3709;3710;3805;4000;4027;4167;4876;5245;5562;5856	605;606;761;762;1113;1114;1243;1244;1683;2877;2878;3084;3085;4253;4291;5630;5631;5632;5633;5634;5675;5728;5835;5836;5837;5989;6307;6349;6564;7717;8291;8863;8864;9360;9361	605;761;1114;1244;1683;2878;3084;4253;4291;5631;5675;5728;5835;5989;6307;6349;6564;7717;8291;8864;9360		
P49589	P49589	1	1	1	Cysteine--tRNA ligase, cytoplasmic	CARS	sp|P49589|SYCC_HUMAN Cysteine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=CARS1 PE=1 SV=3	1	1	1	1	1.3	1.3	1.3	85.472	748	748	0.0011641	7.9708	200530	1				525	1286	True	1307	1476	2336	2336		
P49591	P49591	2	2	2	Serine--tRNA ligase, cytoplasmic	SARS	sp|P49591|SYSC_HUMAN Serine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=SARS1 PE=1 SV=3	1	2	2	2	4.5	4.5	4.5	58.777	514	514	0	12.534	229620	1				526	1001;2756	True;True	1019;2793	1156;3182	1846;5041	1846;5041		
P49720	P49720	3	3	3	Proteasome subunit beta type-3	PSMB3	sp|P49720|PSB3_HUMAN Proteasome subunit beta type-3 OS=Homo sapiens OX=9606 GN=PSMB3 PE=1 SV=2	1	3	3	3	22.9	22.9	22.9	22.949	205	205	0	20.679	2412500	5				527	508;1238;3075	True;True;True	518;1259;3115	595;596;1420;3543	973;974;975;2256;5600;5601	975;2256;5601		
P49721	P49721	2	2	2	Proteasome subunit beta type-2	PSMB2	sp|P49721|PSB2_HUMAN Proteasome subunit beta type-2 OS=Homo sapiens OX=9606 GN=PSMB2 PE=1 SV=1	1	2	2	2	10.4	10.4	10.4	22.836	201	201	0	13.337	1020400	3				528	1262;4382	True;True	1283;4434	1452;5079	2302;2303;8047	2303;8047		
P49736	P49736	2	2	2	DNA replication licensing factor MCM2	MCM2	sp|P49736|MCM2_HUMAN DNA replication licensing factor MCM2 OS=Homo sapiens OX=9606 GN=MCM2 PE=1 SV=4	1	2	2	2	3.1	3.1	3.1	101.89	904	904	0	15.873	634550	2				529	675;3641	True;True	688;3689	781;4190	1254;6596	1254;6596		
