Peptide IDs,Mol. weight [kDa],Evidence IDs,Protein names,Gene names,Sequence coverage [%],Q-value,Reporter intensity 3,Reporter intensity 6,Reporter intensity 8,Score,Sequence length,Reporter intensity 4,Best MS/MS,Razor + unique peptides,Reporter intensity 5,Reporter intensity 9,Reporter intensity 1,Protein IDs,Intensity,Reporter intensity 0,Reporter intensity 7,Reporter intensity 2
5170;15997,56.559,24228;72768;72769,Gelsolin (AGEL) (Actin-depolymerizing factor) (ADF) (Brevin),GSN,4.5,0.0,3463.3,4415.0,3325.8,14.305,782,4015.2,33497,2,3962.3,4032.6,4013.1,P06576,43616000,4052.9,4546.6,4503.8
747;1275;1276;1731;1845;1846;2162;2280;2346;2669;3327;3736;3904;3905;4161;4453;4454;4455;4710;4711;4734;5347;5348;5590;5591;6676;6679;8791;8792;9110;9382;9940;10356;10473;10631;10632;11055;11361;11492;11710;11931;11932;12027;12379;12380;12416;12417;12870;13040;13041;13358;13401;13742;13743;14310;14418;15463;15608;15654,83.267,3126;3127;3128;3129;3130;3131;3132;3133;3134;3135;3136;3137;3138;3139;3140;3141;3142;3143;3144;3145;3146;3147;3148;3149;3150;3151;3152;3153;3154;3155;3156;3157;3158;3159;3160;3161;3162;3163;3164;3165;3166;3167;3168;3169;3170;3171;3172;3173;3174;3175;3176;3177;3178;3179;3180;3181;3182;3183;3184;3185;3186;3187;3188;3189;3190;3191;3192;3193;3194;3195;3196;3197;3198;3199;3200;3201;3202;3203;3204;3205;3206;3207;3208;3209;3210;3211;3212;3213;3214;3215;3216;3217;3218;3219;3220;3221;6204;6205;6206;6207;6208;6209;6210;6211;6212;6213;6214;6215;6216;6217;6218;6219;6220;6221;6222;6223;6224;6225;6226;6227;6228;6229;6230;6231;6232;6233;6234;6235;6236;6237;6238;6239;6240;6241;6242;6243;6244;6245;6246;6247;6248;6249;7616;7617;7618;7619;7620;7621;7862;7863;7864;7865;7866;7867;7868;7869;7870;7871;7872;7873;7874;7875;7876;7877;7878;7879;7880;7881;7882;7883;7884;7885;7886;8834;8835;8836;8837;8838;8839;8840;8841;8842;8843;8844;8845;8846;8847;8848;8849;8850;8851;8852;8853;8854;8855;8856;8857;8858;8859;8860;8861;8862;8863;8864;8865;8866;8867;8868;8869;8870;8871;8872;8873;8874;8875;8876;8877;8878;8879;8880;8881;8882;8883;9315;9316;9317;9318;9319;9320;9321;9322;9323;9324;9325;9326;9327;9328;9329;9330;9331;9332;9333;9334;9537;9538;9539;9540;9541;9542;9543;9544;9545;9546;9547;9548;9549;9550;9551;9552;9553;9554;9555;9556;9557;9558;9559;9560;9561;9562;9563;9564;9565;9566;9567;9568;9569;9570;9571;11893;11894;11895;11896;11897;11898;11899;11900;11901;11902;11903;11904;11905;11906;11907;11908;11909;11910;11911;11912;11913;11914;11915;11916;11917;11918;11919;11920;11921;11922;11923;11924;11925;11926;11927;11928;15125;15126;15127;15128;15129;15130;15131;15132;15133;16967;16968;16969;16970;16971;16972;16973;16974;16975;16976;16977;16978;16979;16980;16981;16982;16983;16984;16985;18123;18124;18125;18126;18127;18128;18129;18130;18131;18132;18133;18134;18135;18136;19460;19461;19462;19463;19464;19465;19466;19467;19468;19469;19470;20849;20850;20851;20852;20853;20854;20855;20856;20857;20858;20859;20860;20861;20862;20863;20864;20865;20866;20867;20868;20869;20870;20871;20872;20873;20874;20875;20876;20877;20878;20879;20880;20881;20882;20883;20884;21951;21952;21953;21954;21955;21956;21957;21958;21959;21960;21961;21962;21963;21964;21965;21966;21967;21968;21969;21970;21971;21972;21973;21974;21975;21976;21977;21978;21979;21980;21981;21982;21983;21984;22035;22036;24934;24935;24936;24937;24938;24939;24940;24941;24942;24943;24944;24945;24946;24947;24948;24949;24950;24951;24952;24953;24954;24955;24956;24957;24958;24959;24960;24961;24962;24963;24964;24965;24966;24967;24968;24969;24970;24971;24972;24973;24974;24975;24976;24977;24978;24979;24980;24981;24982;24983;24984;24985;24986;24987;24988;24989;24990;24991;24992;24993;24994;24995;24996;24997;24998;24999;25000;25001;25002;25003;25004;25005;25006;25007;25008;25009;25010;25011;25012;25013;25014;25015;25016;25017;25018;25019;25020;25021;25022;25023;25024;25025;25026;25027;25028;25029;25930;25931;25932;25933;31695;31696;31697;31698;31699;31700;31701;31702;31703;31704;31705;31706;31707;31708;31709;31710;31711;31712;31713;31714;31715;31716;31717;31718;31719;31720;31721;31722;31723;31726;31727;31728;31729;31730;31731;31732;31733;31734;31735;31736;31737;31738;31739;31740;31741;31742;31743;31744;31745;31746;31747;31748;31749;31750;31751;31752;31753;31754;31755;31756;31757;31758;31759;31760;31761;31762;31763;31764;31765;31766;31767;31768;31769;31770;31771;31772;31773;31774;31775;31776;31777;31778;31779;39752;39753;39754;39755;41144;41145;42131;42132;42133;42134;42135;42136;42137;42138;42139;42140;42141;42142;42143;42144;42145;42146;42147;42148;42149;42150;42151;42152;42153;42154;42155;42156;42157;42158;42159;42160;42161;42162;42163;42164;42165;42166;42167;42168;42169;42170;42171;42172;42173;42174;42175;42176;42177;42178;42179;42180;42181;42182;42183;42184;42185;42186;42187;42188;42189;42190;42191;42192;42193;42194;42195;42196;42197;42198;42199;42200;42201;42202;42203;42204;42205;42206;42207;42208;42209;42210;42211;42212;44290;46419;46420;46421;46422;46423;46424;46425;46426;46427;46428;46429;46430;46431;46432;46433;46434;46435;46436;46437;46438;46439;46440;46441;46442;46443;46444;46445;46446;46447;46448;46449;46450;46451;46452;46453;46454;46455;46456;46457;46458;46459;46460;46461;46462;46463;46464;46465;46466;46467;46468;46469;46470;46471;46472;46473;46474;46475;46476;46477;46478;46479;46480;46481;46482;46483;46484;46485;46486;46487;46488;46489;46490;46491;46492;46493;46494;46495;46496;46497;46498;46499;46500;46501;46502;46503;46504;46505;46506;46507;46508;46509;46510;46511;47281;47282;47283;47284;47285;47286;47287;47288;47289;47290;47291;47292;48195;48196;48197;48198;48199;48200;48201;48202;48203;48204;48205;48206;48207;48208;48209;48210;48211;48212;48213;48214;48215;48216;48217;48218;48219;48220;48221;48222;48223;48224;50032;50033;50034;50035;50036;50037;50038;50039;50040;50041;50042;50043;50044;50045;50046;50047;50048;50049;50050;50051;50052;50053;50054;50055;50056;50057;50058;50059;50060;50061;50062;50063;50064;50065;50066;50067;50068;50069;50070;50071;50072;50073;50074;50075;50076;50077;50078;50079;50080;50081;50082;50083;50084;50085;50086;50087;50088;50089;50090;50091;50092;50093;50094;50095;50096;50097;50098;50099;50100;50101;50102;50103;50104;50105;50106;50107;50108;50109;50110;50111;50112;50113;50114;50115;50116;50117;50118;50119;50120;50121;50122;50123;50124;50125;50126;50127;50128;50129;50130;50131;50132;50133;50134;50135;50136;50137;50138;50139;50140;50141;50142;50143;50144;50145;50146;50147;50148;50149;50150;50151;50152;50153;50154;50155;50156;51225;51226;51227;51228;51229;51230;51231;51232;51233;51234;51235;51236;51237;51238;51239;51240;51241;51242;51243;51244;51245;51246;51247;51248;51249;51250;51251;51252;51253;51254;51255;51256;51257;51258;51259;51260;51261;51262;51263;51264;51265;51266;51267;51740;51741;51742;51743;51744;51745;51746;51747;51748;51749;53001;53002;53003;53004;53005;53006;53007;53008;53009;53010;53011;53012;53013;53014;53015;53016;53017;53018;53019;53020;53021;53022;53023;53024;53025;53026;53027;53028;53029;53030;53031;53032;53033;53034;53035;53036;53037;53038;53039;53040;53041;53042;53043;53044;53045;53046;53047;53048;53049;53050;53051;53052;53053;53054;53055;53056;53057;53058;53059;53060;53061;53062;53063;53064;53065;53066;53067;53068;53069;53070;53071;53072;53073;53074;53075;53076;53077;53078;53079;53080;53081;53082;53083;53084;53085;53086;53087;53088;53089;53090;53091;53092;53093;53094;53095;53096;53097;53098;53099;53100;53101;53102;53103;53104;53105;53106;53107;53108;53109;53110;53111;53112;53113;53114;53115;53116;53117;53118;53119;53924;53925;53926;53927;53928;53929;53930;53931;53932;53933;53934;53935;53936;53937;53938;53939;53940;54342;54343;55620;55621;55622;55623;55624;55625;55626;55627;55628;55629;55630;55631;55632;55633;55634;55635;55636;55637;55638;55639;55640;55641;55642;55643;55644;55645;55646;55647;55648;55649;55650;55651;55652;55653;55654;55655;55656;55657;55658;55659;55660;55661;55662;55663;55664;55665;55666;55667;55668;55669;55670;55671;55672;55673;55674;55675;55676;55790;55791;55792;55793;55794;55795;55796;55797;55798;55799;55800;55801;55802;55803;55804;55805;55806;55807;55808;55809;57973;57974;57975;57976;57977;57978;57979;57980;57981;57982;57983;57984;57985;58571;58572;58573;58574;58575;58576;58577;58578;58579;58580;58581;58582;58583;58584;58585;60499;60647;60648;60649;60650;60651;60652;60653;60654;60655;60656;60657;60658;60659;60660;60661;60662;60663;62244;62245;62246;62247;62248;62249;62250;62251;62252;62253;62254;62255;62256;62257;62258;62259;62260;62261;62262;62263;62264;64464;64465;65331;70380;70381;70382;70383;70384;70385;70386;70387;70388;70389;70390;70391;70392;70393;70394;70395;70396;70397;70398;70399;70400;70401;70402;70403;70404;70405;70406;70407;70408;70409;70410;70411;71122;71123;71353;71354;71355;71356;71357;71358;71359;71360;71361;71362;71363;71364,"ATP synthase subunit beta, mitochondrial (EC 7.1.2.2) (ATP synthase F1 subunit beta)",ATP5F1B ATP5B ATPMB ATPSB,74.9,0.0,1056400.0,1254300.0,1084800.0,323.31,529,1175300.0,4404,59,1074700.0,1282700.0,1086800.0,P06681,771080000000,1075400.0,1232800.0,1216200.0
2618;2619;8121;9059;9060;10018;10360;10777;11852;15284;15285,13.242,11216;11217;11218;11219;37666;40908;40909;40910;40911;40912;40913;40914;40915;40916;44613;44614;44615;44616;46543;46544;46545;46546;46547;46548;46549;46550;46551;46552;46553;46554;46555;46556;46557;46558;46559;46560;48669;48670;48671;48672;53594;53595;53596;53597;53598;53599;53600;69790;69791;69792;69793;69794;69795;69796;69797;69798;69799;69800;69801;69802;69803;69804;69805;69806;69807,Complement C2 (EC 3.4.21.43) (C3/C5 convertase) [Cleaved into: Complement C2b fragment; Complement C2a fragment],C2,86.0,0.0,50919.0,67713.0,58587.0,323.31,752,63302.0,15037,11,51813.0,66384.0,59698.0,P06702,21900000000,59273.0,67128.0,66950.0
3957;9521;9680,10.18,18269;18270;18271;42713;42714;43265;43266;43267,Protein S100-A9 (Calgranulin-B) (Calprotectin L1H subunit) (Leukocyte L1 complex heavy chain) (Migration inhibitory factor-related protein 14) (MRP-14) (p14) (S100 calcium-binding protein A9),S100A9 CAGB CFAG MRP14,24.4,0.0035587,9322.6,11422.0,10329.0,1.8204,114,10580.0,24947,3,8734.9,11139.0,9628.0,P06703,1818700000,10701.0,11874.0,11977.0
329;646;846;2492;2623;3290;3437;3840;3996;3997;6137;6162;7206;7207;7208;7793;7794;8351;8635;8636;8887;9041;9042;9092;9459;9563;9564;9989;10123;11355;11858;12441;12476;12727;13048;13049;13054;13055;14278;14467;14468;15045;15360;15361;15494;15601,45.398,1188;1189;1190;1191;1192;1193;1194;1195;1196;2821;2822;2823;2824;2825;2826;2827;2828;2829;2830;2831;2832;2833;2834;2835;2836;2837;2838;2839;2840;2841;2842;2843;2844;2845;2846;2847;2848;2849;2850;2851;2852;2853;2854;2855;2856;2857;2858;2859;2860;2861;4090;4091;4092;4093;4094;4095;4096;4097;4098;4099;4100;4101;4102;4103;4104;4105;4106;4107;4108;4109;4110;4111;4112;4113;4114;4115;4116;4117;4118;4119;4120;4121;4122;4123;4124;4125;4126;4127;4128;4129;4130;4131;4132;4133;4134;4135;4136;4137;4138;4139;4140;4141;4142;4143;4144;4145;4146;4147;4148;4149;4150;4151;4152;4153;4154;4155;4156;4157;4158;4159;4160;4161;4162;4163;4164;10627;10628;10629;11226;15032;15033;15034;15035;15036;15037;15038;15039;15040;15041;15042;15043;15044;15045;15046;15047;15048;15049;15050;15051;15052;15053;15054;15055;15056;15057;15058;15059;15060;15061;15062;15063;15064;15065;15066;15502;15503;15504;15505;15506;15507;17571;18398;18399;18400;18401;18402;18403;18404;18405;18406;18407;18408;18409;18410;18411;18412;18413;18414;18415;18416;18417;18418;18419;18420;18421;18422;18423;18424;18425;18426;18427;18428;18429;18430;28917;28971;28972;28973;28974;28975;28976;28977;34123;34124;34125;34126;34127;34128;34129;34130;34131;34132;34133;34134;34135;34136;34137;34138;34139;34140;34141;34142;34143;34144;34145;34146;34147;34148;34149;34150;34151;34152;34153;34154;34155;34156;34157;34158;34159;34160;34161;34162;34163;34164;34165;34166;34167;34168;34169;34170;34171;34172;34173;34174;34175;34176;34177;34178;34179;34180;34181;34182;34183;34184;34185;34186;34187;34188;34189;36208;36209;36210;36211;36212;36213;36214;36215;36216;36217;36218;36219;36220;36221;36222;36223;36224;36225;36226;36227;36228;36229;36230;36231;36232;36233;36234;36235;36236;36237;36238;36239;38157;38158;38159;38160;38161;38162;38163;38164;38165;38166;38167;38168;38169;38170;38171;38172;38173;38174;38175;38176;38177;38178;38179;38180;38181;38182;38183;38184;38185;38186;38187;38188;38189;38190;38191;38192;38193;38194;38195;38196;38197;38198;38199;38200;38201;38202;38203;38204;38205;38206;38207;38208;38209;38210;38211;38212;38213;38214;38215;38216;38217;38218;38219;38220;38221;38222;38223;38224;38225;38226;38227;38228;38229;38230;38231;38232;38233;38234;38235;38236;38237;38238;38239;38240;38241;38242;38243;38244;38245;38246;38247;38248;38249;38250;38251;38252;39070;39071;39072;39073;39074;39075;39076;39077;39078;39079;39080;39081;39082;39083;39084;39085;39086;39087;39088;39089;39090;39091;39092;39093;39094;39095;39096;39097;39098;39099;39100;39101;39102;39103;39104;39105;40055;40056;40057;40058;40059;40060;40061;40062;40063;40064;40065;40066;40067;40068;40069;40070;40071;40072;40073;40074;40075;40076;40077;40078;40079;40769;40770;40771;40772;40773;40774;40775;40776;40777;40778;40779;40780;40781;40782;40783;40784;40785;40786;40787;40788;40789;40790;40791;40792;40793;40794;40795;40796;40797;40798;40799;40800;40801;40802;40803;40804;40805;40806;40807;40808;40809;40810;40811;40812;40813;40814;40815;40816;40817;40818;40819;40820;40821;41009;41010;41011;41012;41013;41014;41015;41016;41017;41018;41019;41020;41021;41022;41023;41024;41025;41026;41027;41028;41029;41030;41031;41032;41033;41034;41035;41036;41037;41038;41039;41040;41041;41042;41043;41044;41045;41046;41047;41048;41049;41050;41051;41052;41053;41054;41055;41056;41057;41058;41059;41060;41061;41062;41063;41064;41065;41066;41067;41068;41069;41070;41071;41072;41073;41074;41075;42543;42544;42545;42546;42547;42548;42549;42550;42551;42552;42553;42554;42555;42556;42557;42558;42559;42560;42561;42562;42563;42564;42565;42566;42567;42568;42569;42570;42571;42572;42573;42574;42575;42576;42577;42578;42579;42580;42581;42582;42843;42844;42845;42846;42847;42848;42849;42850;42851;42852;42853;42854;42855;42856;42857;42858;42859;42860;42861;42862;42863;42864;42865;42866;42867;42868;42869;42870;42871;42872;42873;42874;42875;42876;42877;42878;42879;42880;42881;42882;42883;42884;42885;42886;42887;42888;42889;42890;42891;42892;42893;42894;42895;42896;42897;42898;42899;42900;42901;42902;42903;42904;42905;42906;42907;42908;42909;42910;42911;42912;42913;42914;42915;42916;42917;42918;42919;42920;42921;42922;42923;42924;42925;42926;42927;42928;42929;42930;42931;42932;42933;42934;42935;42936;42937;42938;42939;42940;42941;42942;42943;42944;42945;42946;42947;42948;42949;42950;42951;42952;42953;42954;42955;42956;42957;42958;42959;42960;42961;42962;42963;42964;42965;42966;42967;44417;44418;44419;44420;44421;44422;44423;44424;44425;44426;44427;44428;44429;44430;44431;44432;44433;44434;44435;44436;44437;44438;44439;44440;44441;44442;44443;44444;44445;44446;44447;44448;44449;44450;44451;44452;44453;44454;44455;44456;44457;44458;44459;44460;44461;44462;44463;44464;44465;44466;44467;44468;44469;44470;44471;44472;44473;44474;44475;44946;44947;44948;44949;44950;44951;44952;44953;44954;44955;44956;44957;44958;44959;44960;44961;44962;44963;44964;44965;44966;44967;44968;44969;44970;44971;44972;44973;44974;44975;44976;44977;44978;44979;44980;44981;44982;51215;53611;53612;53613;53614;53615;53616;53617;53618;53619;53620;53621;53622;55876;55877;55878;55974;55975;55976;55977;55978;55979;55980;55981;55982;55983;55984;55985;55986;55987;55988;55989;55990;55991;55992;55993;55994;55995;55996;55997;55998;55999;56000;56001;56002;56003;56004;56005;56006;56007;56008;56009;56010;56011;56012;56013;56014;56015;56016;56970;56971;56972;56973;56974;56975;56976;56977;56978;56979;56980;56981;56982;56983;56984;56985;56986;56987;56988;56989;56990;56991;56992;56993;56994;56995;56996;56997;56998;56999;57000;57001;57002;57003;57004;57005;57006;57007;57008;57009;57010;57011;57012;57013;57014;57015;57016;57017;57018;57019;57020;57021;57022;57023;57024;57025;57026;57027;57028;57029;57030;57031;57032;57033;57034;57035;57036;57037;57038;57039;57040;57041;57042;57043;57044;57045;57046;57047;57048;57049;57050;57051;57052;57053;57054;57055;57056;57057;57058;57059;57060;57061;57062;57063;57064;57065;57066;57067;57068;57069;57070;57071;57072;57073;57074;57075;57076;57077;57078;57079;57080;57081;57082;57083;57084;57085;57086;57087;57088;57089;57090;57091;57092;57093;57094;57095;57096;57097;57098;57099;57100;57101;57102;57103;57104;57105;57106;57107;57108;57109;57110;57111;57112;57113;57114;57115;57116;57117;57118;57119;57120;57121;57122;57123;57124;57125;57126;57127;57128;57129;57130;57131;57132;57133;57134;57135;57136;57137;57138;57139;57140;57141;57142;57143;57144;57145;57146;57147;57148;57149;57150;57151;57152;57153;57154;57155;57156;57157;57158;57159;57160;57161;57162;57163;57164;57165;57166;57167;57168;57169;57170;57171;57172;57173;57174;57175;57176;57177;57178;57179;57180;57181;57182;57183;57184;57185;57186;57187;57188;57189;57190;58621;58622;58623;58624;58625;58626;58627;58628;58629;58630;58631;58632;58633;58634;58635;58636;58637;58638;58639;58640;58641;58642;58643;58644;58645;58646;58647;58648;58649;58650;58651;58652;58653;58654;58655;58656;58657;58658;58659;58660;58661;58662;58663;58664;58665;58666;58667;58668;58669;58670;58671;58672;58673;58674;58675;58676;58677;58678;58679;58680;58681;58682;58683;58684;58685;58686;58687;58688;58689;58690;58691;58692;58693;58694;58695;58696;58697;58698;58699;58700;58722;58723;58724;58725;58726;58727;58728;58729;58730;58731;58732;58733;58734;58735;58736;58737;58738;58739;58740;58741;58742;58743;58744;58745;58746;58747;58748;58749;58750;58751;58752;58753;58754;58755;58756;58757;58758;58759;58760;58761;58762;58763;58764;58765;58766;58767;58768;58769;58770;58771;58772;58773;58774;58775;58776;58777;58778;58779;58780;58781;58782;58783;64296;64297;64298;64299;64300;64301;64302;64303;64304;64305;64306;64307;64308;64309;64310;64311;64312;64313;64314;64315;64316;64317;64318;64319;64320;64321;64322;64323;64324;64325;64326;64327;64328;64329;64330;64331;64332;64333;64334;64335;64336;64337;64338;64339;64340;64341;64342;64343;64344;64345;64346;64347;64348;64349;64350;64351;64352;64353;64354;64355;64356;64357;64358;64359;64360;64361;64362;64363;64364;64365;64366;64367;64368;64369;64370;64371;64372;64373;64374;64375;65462;65463;65464;65465;65466;65467;65468;65469;65470;65471;65472;65473;65474;65475;65476;65477;65478;65479;65480;65481;65482;65483;65484;65485;65486;65487;65488;65489;65490;65491;65492;65493;65494;65495;65496;65497;65498;65499;65500;65501;65502;65503;65504;65505;65506;65507;65508;65509;65510;65511;65512;65513;65514;65515;65516;65517;65518;65519;65520;65521;65522;65523;65524;65525;65526;65527;65528;65529;69067;69068;69069;69070;69071;69072;69073;69074;69075;69076;69077;69078;69079;69080;69081;69082;69083;69084;69085;69086;69087;69088;69089;69090;69091;69092;69093;69094;70065;70066;70067;70068;70069;70070;70071;70072;70073;70074;70075;70076;70077;70078;70079;70080;70081;70082;70083;70084;70085;70086;70087;70088;70089;70090;70091;70092;70093;70094;70095;70096;70097;70098;70099;70100;70101;70102;70103;70104;70105;70106;70107;70108;70109;70110;70111;70112;70113;70114;70115;70116;70117;70118;70119;70120;70121;70122;70123;70124;70125;70126;70127;70128;70489;70490;70491;70492;70493;70494;70495;70496;70497;71062;71063;71064;71065;71066;71067;71068;71069;71070;71071;71072;71073;71074;71075;71076;71077;71078;71079;71080;71081;71082;71083;71084;71085;71086;71087;71088;71089;71090;71091;71092;71093;71094;71095;71096;71097;71098;71099;71100;71101;71102;71103;71104;71105;71106;71107;71108;71109;71110;71111;71112;71113;71114,Protein S100-A6 (Calcyclin) (Growth factor-inducible protein 2A9) (MLN 4) (Prolactin receptor-associated protein) (PRA) (S100 calcium-binding protein A6),S100A6 CACY,84.6,0.0,1816100.0,2054700.0,1830900.0,323.31,90,1930400.0,1610,46,1864800.0,2195000.0,1741200.0,P06727,1843200000000,1753900.0,2044900.0,1985800.0
456;3853;4134;4135;4601;4647;5710;5918;6269;6434;6770;6835;6908;6929;9109;9601;9909;12297;12785;13817;13818;15512;15513,43.101,2027;17827;17828;17829;19127;19128;19129;19130;19131;19132;19133;19134;21557;21558;21559;21736;26573;26574;27283;27284;27285;29594;29595;29596;29597;30374;30375;30376;30377;31974;32205;32453;32517;41140;41141;41142;41143;43065;43066;43067;44087;44088;44089;44090;44091;44092;44093;44094;55360;55361;57478;57479;57480;62609;62610;62611;70647;70648;70649;70650,Apolipoprotein A-IV (Apo-AIV) (ApoA-IV) (Apolipoprotein A4),APOA4,60.4,0.0,67376.0,84310.0,70448.0,323.31,396,77579.0,2804,23,63352.0,80509.0,73330.0,P06732,13023000000,73963.0,78035.0,81461.0
115;2031;3606;6150;7246;7345;8325;12852;15598;16696,47.168,602;8502;16481;28942;28943;28944;34399;34857;38099;57938;57939;71057;76357,Creatine kinase M-type (EC 2.7.3.2) (Creatine kinase M chain) (Creatine phosphokinase M-type) (CPK-M) (M-CK),CKM CKMM,30.6,0.0,11469.0,16708.0,13469.0,61.46,381,14142.0,868,10,17083.0,14925.0,13104.0,P06733,1003500000,12898.0,14412.0,15005.0
72;1355;2180;2190;2335;2401;3160;4522;5109;5336;6850;7180;7419;7663;7950;9170;9261;10088;10839;13934;14457;15069;15292;15320;15533;15534;15803;16299,93.133,331;6537;8920;8921;8922;8950;9514;10239;10240;10241;14604;21185;21186;24037;24920;32235;32236;34072;35061;35062;35853;36942;41329;41330;41792;44879;44880;44881;44882;49225;62980;65437;69134;69817;69927;70729;70730;70731;71869;74232;74233,Alpha-enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (C-myc promoter-binding protein) (Enolase 1) (MBP-1) (MPB-1) (Non-neural enolase) (NNE) (Phosphopyruvate hydratase) (Plasminogen-binding protein),ENO1 ENO1L1 MBPB1 MPB1,41.2,0.0,35922.0,42606.0,37493.0,198.09,434,39835.0,436,28,79966.0,42084.0,36841.0,P06737-2,1012900000,37772.0,44605.0,41420.0
1287;3932;4468;4526;6751;7575;7678;9985;10381;10382;10418;10934;12346;12723;13244;13245;13989;14181;15090,63.146,6295;6296;6297;6298;18195;20913;20914;21366;21367;31934;31935;35476;35477;35478;35479;35480;35884;44412;46785;46786;46787;46788;46943;49516;49517;55522;56958;60043;60044;60045;60046;60047;60048;63157;63158;63159;63160;63741;63742;63743;63744;69193;69194,"Glycogen phosphorylase, liver form (EC 2.4.1.1)",PYGL,35.7,0.0,44079.0,56145.0,49651.0,200.81,847,53755.0,8712,19,47600.0,54902.0,50682.0,P06744,3457100000,48764.0,53273.0,52755.0
1696;1871;3374;3434;3979;4092;4093;6802;6803;6804;7751;7752;7776;7777;8346;8527;8661;8662;9520;10090;10091;10319;10394;12313;12314;13872;14099;14100;16936,27.174,7548;7549;7958;7959;15291;15292;15494;15495;18323;18972;18973;18974;18975;32058;32059;32060;32061;32062;32063;32064;32065;32066;36061;36062;36063;36064;36065;36151;36152;36153;38145;38146;38744;39154;39155;39156;39157;42712;44884;44885;44886;44887;45936;45937;45938;46813;46814;55445;55446;62787;63535;63536;63537;63538;77238,Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Autocrine motility factor) (AMF) (Neuroleukin) (NLK) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI) (Sperm antigen 36) (SA-36),GPI,73.7,0.0,72325.0,91373.0,79970.0,323.31,558,83231.0,10293,29,71382.0,86143.0,82174.0,Q5VU59,11026000000,80746.0,87305.0,90816.0
5990;7881;9875;10026;12223,53.162,28315;36596;43905;43906;44636;55151,Epididymis luminal protein 189 (Epididymis secretory sperm binding protein),DKFZp686J1372 HEL-189,14.3,0.0,5296.0,6575.9,5661.8,111.5,232,5395.3,38708,5,6032.1,6009.0,5567.9,P06858,156510000,5318.8,6531.6,6585.1
10112;13991,44.0,44920;63164,Lipoprotein lipase (LPL) (EC 3.1.1.34) (Phospholipase A1) (EC 3.1.1.32),LPL LIPD,4.5,0.0,3431.1,4548.9,3611.5,2.6237,475,4138.6,60752,2,3720.5,4069.8,3512.6,P07093-2,9889800,3489.4,4145.1,4013.1
656;1389;11468;14166;16207,10.044,2881;2882;6624;6625;51690;51691;51692;51693;51694;63711;63712;73927;73928,Glia-derived nexin (GDN) (Peptidase inhibitor 7) (PI-7) (Protease nexin 1) (PN-1) (Protease nexin I) (Serpin E2),SERPINE2 PI7 PN1,64.4,0.0,16769.0,20492.0,17526.0,13.962,398,18667.0,4034,5,14788.0,19794.0,17828.0,P07108,694090000,18197.0,19237.0,18762.0
592;6560;13590;13591;14698;15326;16874,14.208,2657;2658;2659;30843;61659;61660;61661;66952;66953;66954;66955;69946;76967,Acyl-CoA-binding protein (ACBP) (Diazepam-binding inhibitor) (DBI) (Endozepine) (EP),DBI,70.1,0.0,14892.0,17937.0,16652.0,63.142,87,16628.0,3751,7,15064.0,18832.0,15746.0,P07148,465160000,15117.0,17468.0,17763.0
3154;4813;6073;6111;6661;7415;7936;7946;8009;8420;9189;9277;9281;10515;11941;12518;13044;15296;16932,36.638,14586;14587;14588;14589;14590;22250;22251;22252;22253;22254;28608;28609;28610;28611;28612;28613;28614;28762;28763;28764;28765;28766;28767;28768;28769;28770;31534;35050;35051;35052;35053;35054;35055;35056;36905;36906;36907;36908;36909;36910;36911;36912;36933;36934;37209;37210;37211;38464;38465;41586;41587;41588;41589;41590;41591;41592;41593;41594;41595;41832;41833;41834;41835;41875;47435;47436;47437;47438;47439;47440;47441;47442;47443;47444;47445;53958;53959;53960;56145;56146;56147;56148;58594;58595;58596;58597;58598;58599;58600;58601;58602;58603;58604;58605;58606;58607;58608;58609;58610;58611;58612;58613;58614;58615;69829;69830;69831;69832;69833;77228;77229,"Fatty acid-binding protein, liver (Fatty acid-binding protein 1) (Liver-type fatty acid-binding protein) (L-FABP)",FABP1 FABPL,69.8,0.0,108830.0,136990.0,120230.0,237.99,127,126670.0,19755,19,109990.0,133140.0,118860.0,P07195,27887000000,123480.0,131870.0,135710.0
