Protein IDs,Protein names,Gene Names,LNCaP/RWPE-1 normalized 1st,LNCaP/RWPE-1 normalized 2nd,LNCaP/RWPE-1 normalized 3rd
P54577,"Tyrosine--tRNA ligase, cytoplasmic (EC 6.1.1.1) (Tyrosyl-tRNA synthetase) (TyrRS) [Cleaved into: Tyrosine--tRNA ligase, cytoplasmic, N-terminally processed]",YARS1 YARS,0.90294,0.86542,0.91983
P54578,Ubiquitin carboxyl-terminal hydrolase 14 (EC 3.4.19.12) (Deubiquitinating enzyme 14) (Ubiquitin thioesterase 14) (Ubiquitin-specific-processing protease 14),USP14 TGT,0.73,0.69156,0.70694
P54709,Sodium/potassium-transporting ATPase subunit beta-3 (Sodium/potassium-dependent ATPase subunit beta-3) (ATPB-3) (CD antigen CD298),ATP1B3,1.0174,1.1114,0.93088
P54725,UV excision repair protein RAD23 homolog A (HR23A) (hHR23A),RAD23A,0.8917,0.88162,0.95496
P54727,UV excision repair protein RAD23 homolog B (HR23B) (hHR23B) (XP-C repair-complementing complex 58 kDa protein) (p58),RAD23B,0.77662,0.71673,0.70071
P54819,"Adenylate kinase 2, mitochondrial (AK 2) (EC 2.7.4.3) (ATP-AMP transphosphorylase 2) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase) [Cleaved into: Adenylate kinase 2, mitochondrial, N-terminally processed]",AK2 ADK2,1.3634,1.3558,1.3901
P54886,Delta-1-pyrroline-5-carboxylate synthase (P5CS) (Aldehyde dehydrogenase family 18 member A1) [Includes: Glutamate 5-kinase (GK) (EC 2.7.2.11) (Gamma-glutamyl kinase); Gamma-glutamyl phosphate reductase (GPR) (EC 1.2.1.41) (Glutamate-5-semialdehyde dehydrogenase) (Glutamyl-gamma-semialdehyde dehydrogenase)],ALDH18A1 GSAS P5CS PYCS,1.2094,1.0545,1.1849
P54920,Alpha-soluble NSF attachment protein (SNAP-alpha) (N-ethylmaleimide-sensitive factor attachment protein alpha),NAPA SNAPA,1.4212,1.3125,1.4549
P55010,Eukaryotic translation initiation factor 5 (eIF-5),EIF5,0.80682,0.78075,0.79974
P55036,26S proteasome non-ATPase regulatory subunit 4 (26S proteasome regulatory subunit RPN10) (26S proteasome regulatory subunit S5A) (Antisecretory factor 1) (AF) (ASF) (Multiubiquitin chain-binding protein),PSMD4 MCB1,0.90518,0.95978,0.98245
P55039,Developmentally-regulated GTP-binding protein 2 (DRG-2) (Translation factor GTPase DRG2) (TRAFAC GTPase DRG2) (EC 3.6.5.-),DRG2,1.0244,1.3481,1.0581
P55060,Exportin-2 (Exp2) (Cellular apoptosis susceptibility protein) (Chromosome segregation 1-like protein) (Importin-alpha re-exporter),CSE1L CAS XPO2,0.74522,0.72885,0.72048
P55072,Transitional endoplasmic reticulum ATPase (TER ATPase) (EC 3.6.4.6) (15S Mg(2+)-ATPase p97 subunit) (Valosin-containing protein) (VCP),VCP,0.81181,0.84605,0.79032
P55084,"Trifunctional enzyme subunit beta, mitochondrial (TP-beta) [Includes: 3-ketoacyl-CoA thiolase (EC 2.3.1.155) (EC 2.3.1.16) (Acetyl-CoA acyltransferase) (Beta-ketothiolase)]",HADHB MSTP029,2.0282,1.9904,1.9331
P55145,Mesencephalic astrocyte-derived neurotrophic factor (Arginine-rich protein) (Protein ARMET),MANF ARMET ARP,1.1713,1.1293,1.1792
P55209,Nucleosome assembly protein 1-like 1 (NAP-1-related protein) (hNRP),NAP1L1 NRP,0.64648,0.63925,0.68324
P55263,Adenosine kinase (AK) (EC 2.7.1.20) (Adenosine 5'-phosphotransferase),ADK,0.52581,0.60093,0.5937
P55265,Double-stranded RNA-specific adenosine deaminase (DRADA) (EC 3.5.4.37) (136 kDa double-stranded RNA-binding protein) (p136) (Interferon-inducible protein 4) (IFI-4) (K88DSRBP),ADAR ADAR1 DSRAD G1P1 IFI4,1.0088,1.0449,1.0328
P55327,Tumor protein D52 (Protein N8),TPD52,2.0435,2.0563,1.9026
P55735,Protein SEC13 homolog (GATOR complex protein SEC13) (SEC13-like protein 1) (SEC13-related protein),SEC13 D3S1231E SEC13A SEC13L1 SEC13R,1.0994,1.3567,1.141
P55769,"NHP2-like protein 1 (High mobility group-like nuclear protein 2 homolog 1) (OTK27) (SNU13 homolog) (hSNU13) (U4/U6.U5 small nuclear ribonucleoprotein SNU13) (U4/U6.U5 tri-snRNP 15.5 kDa protein) [Cleaved into: NHP2-like protein 1, N-terminally processed]",SNU13 NHP2L1,1.2083,1.18,1.2164
P55786,Puromycin-sensitive aminopeptidase (PSA) (EC 3.4.11.14) (Cytosol alanyl aminopeptidase) (AAP-S),NPEPPS PSA,1.8304,1.7013,1.7643
P55795,"Heterogeneous nuclear ribonucleoprotein H2 (hnRNP H2) (FTP-3) (Heterogeneous nuclear ribonucleoprotein H') (hnRNP H') [Cleaved into: Heterogeneous nuclear ribonucleoprotein H2, N-terminally processed]",HNRNPH2 FTP3 HNRPH2,1.3765,1.4689,1.4031
P55809,"Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial (SCOT) (EC 2.8.3.5) (3-oxoacid CoA-transferase 1) (Somatic-type succinyl-CoA:3-oxoacid CoA-transferase) (SCOT-s) (Succinyl-CoA:3-oxoacid CoA transferase)",OXCT1 OXCT SCOT,2.1068,2.3738,2.0914
P55884,Eukaryotic translation initiation factor 3 subunit B (eIF3b) (Eukaryotic translation initiation factor 3 subunit 9) (Prt1 homolog) (hPrt1) (eIF-3-eta) (eIF3 p110) (eIF3 p116),EIF3B EIF3S9,0.94242,0.98045,0.94434
P56134,"ATP synthase subunit f, mitochondrial (ATP synthase membrane subunit f)",ATP5MF ATP5J2 ATP5JL,2.2431,2.2784,2.248
P56192,"Methionine--tRNA ligase, cytoplasmic (EC 6.1.1.10) (Methionyl-tRNA synthetase) (MetRS)",MARS1 MARS,0.97546,0.87892,0.89614
P56211,cAMP-regulated phosphoprotein 19 (ARPP-19),ARPP19,0.85424,0.84589,0.87392
P56385,"ATP synthase subunit e, mitochondrial (ATPase subunit e) (ATP synthase membrane subunit e) [Cleaved into: ATP synthase subunit e, mitochondrial, N-terminally processed]",ATP5ME ATP5I ATP5K,1.4099,1.8595,1.7987
P56537,Eukaryotic translation initiation factor 6 (eIF-6) (B(2)GCN homolog) (B4 integrin interactor) (CAB) (p27(BBP)),EIF6 EIF3A ITGB4BP OK/SW-cl.27,0.67476,0.63818,0.70232
P56545,C-terminal-binding protein 2 (CtBP2),CTBP2,1.0994,0.95634,1.2523
P57088,Transmembrane protein 33 (Protein DB83) (SHINC-3),TMEM33 DB83,1.0842,1.1548,1.144
P57678,Gem-associated protein 4 (Gemin-4) (Component of gems 4) (p97),GEMIN4,0.52983,0.52598,0.57726
P57740,Nuclear pore complex protein Nup107 (107 kDa nucleoporin) (Nucleoporin Nup107),NUP107,0.98682,0.94258,1.0218
P58107,Epiplakin (450 kDa epidermal antigen),EPPK1 EPIPL,1.4395,1.6016,1.6159
P58546,Myotrophin (Protein V-1),MTPN,1.1552,1.1758,1.0518
P59998,Actin-related protein 2/3 complex subunit 4 (Arp2/3 complex 20 kDa subunit) (p20-ARC),ARPC4 ARC20,0.53956,0.5245,0.54174
P60033,CD81 antigen (26 kDa cell surface protein TAPA-1) (Target of the antiproliferative antibody 1) (Tetraspanin-28) (Tspan-28) (CD antigen CD81),CD81 TAPA1 TSPAN28,1.8055,1.7636,1.5632
P60174,Triosephosphate isomerase (TIM) (EC 5.3.1.1) (Methylglyoxal synthase) (EC 4.2.3.3) (Triose-phosphate isomerase),TPI1 TPI,0.92172,0.89548,0.92108
P60228,Eukaryotic translation initiation factor 3 subunit E (eIF3e) (Eukaryotic translation initiation factor 3 subunit 6) (Viral integration site protein INT-6 homolog) (eIF-3 p48),EIF3E EIF3S6 INT6,0.87288,0.85882,0.94803
P60468,Protein transport protein Sec61 subunit beta,SEC61B,1.0464,1.0212,0.92321
P60510,Serine/threonine-protein phosphatase 4 catalytic subunit (PP4C) (Pp4) (EC 3.1.3.16) (Protein phosphatase X) (PP-X),PPP4C PPP4 PPX,0.51202,0.49985,0.52454
P60660,Myosin light polypeptide 6 (17 kDa myosin light chain) (LC17) (Myosin light chain 3) (MLC-3) (Myosin light chain alkali 3) (Myosin light chain A3) (Smooth muscle and nonmuscle myosin light chain alkali 6),MYL6,0.46561,0.46803,0.48048
P60842,Eukaryotic initiation factor 4A-I (eIF-4A-I) (eIF4A-I) (EC 3.6.4.13) (ATP-dependent RNA helicase eIF4A-1),EIF4A1 DDX2A EIF4A,0.96922,0.97754,0.98243
P60866,40S ribosomal protein S20 (Small ribosomal subunit protein uS10),RPS20,0.77739,0.79973,0.775
P60891,Ribose-phosphate pyrophosphokinase 1 (EC 2.7.6.1) (PPRibP) (Phosphoribosyl pyrophosphate synthase I) (PRS-I),PRPS1,1.6082,1.5291,1.5812
P60900,Proteasome subunit alpha type-6 (27 kDa prosomal protein) (PROS-27) (p27K) (Macropain iota chain) (Multicatalytic endopeptidase complex iota chain) (Proteasome iota chain),PSMA6 PROS27,0.86347,0.86011,0.85293
P60953,Cell division control protein 42 homolog (EC 3.6.5.2) (G25K GTP-binding protein),CDC42,0.58619,0.58554,0.61332
P60981,Destrin (Actin-depolymerizing factor) (ADF),DSTN ACTDP DSN,0.43501,0.36015,0.40993
P60983,Glia maturation factor beta (GMF-beta),GMFB,1.4118,1.2686,1.4401
P61006,Ras-related protein Rab-8A (EC 3.6.5.2) (Oncogene c-mel),RAB8A MEL RAB8,0.51948,0.46372,0.47905
P61011,Signal recognition particle 54 kDa protein (SRP54) (EC 3.6.5.-),SRP54,1.1646,1.059,0.96381
P61019,Ras-related protein Rab-2A (EC 3.6.5.2),RAB2A RAB2,0.86731,0.91758,0.89854
P61026,Ras-related protein Rab-10 (EC 3.6.5.2),RAB10,1.1688,1.1549,1.2125
P61081,NEDD8-conjugating enzyme Ubc12 (EC 2.3.2.34) (NEDD8 carrier protein) (Ubiquitin-conjugating enzyme E2 M),UBE2M UBC12,1.6741,1.8142,1.5382
P61086,Ubiquitin-conjugating enzyme E2 K (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme K) (Huntingtin-interacting protein 2) (HIP-2) (Ubiquitin carrier protein) (Ubiquitin-conjugating enzyme E2-25 kDa) (Ubiquitin-conjugating enzyme E2(25K)) (Ubiquitin-conjugating enzyme E2-25K) (Ubiquitin-protein ligase),UBE2K HIP2 LIG,1.0522,1.0672,1.0799
P61088,Ubiquitin-conjugating enzyme E2 N (EC 2.3.2.23) (Bendless-like ubiquitin-conjugating enzyme) (E2 ubiquitin-conjugating enzyme N) (Ubc13) (UbcH13) (Ubiquitin carrier protein N) (Ubiquitin-protein ligase N),UBE2N BLU,0.98501,0.97877,1.0063
P61106,Ras-related protein Rab-14,RAB14,0.5287,0.5078,0.45999
P61158,Actin-related protein 3 (Actin-like protein 3),ACTR3 ARP3,0.55492,0.55354,0.52579
P61160,Actin-related protein 2 (Actin-like protein 2),ACTR2 ARP2,0.52152,0.53727,0.57227
P61163,Alpha-centractin (Centractin) (ARP1) (Actin-RPV) (Centrosome-associated actin homolog),ACTR1A CTRN1,0.7683,0.75635,0.64209
P61201,COP9 signalosome complex subunit 2 (SGN2) (Signalosome subunit 2) (Alien homolog) (JAB1-containing signalosome subunit 2) (Thyroid receptor-interacting protein 15) (TR-interacting protein 15) (TRIP-15),COPS2 CSN2 TRIP15,1.2002,1.2101,1.282
P61221,ATP-binding cassette sub-family E member 1 (2'-5'-oligoadenylate-binding protein) (HuHP68) (RNase L inhibitor) (Ribonuclease 4 inhibitor) (RNS4I),ABCE1 RLI RNASEL1 RNASELI RNS4I OK/SW-cl.40,0.61097,0.59292,0.6183
P61224,Ras-related protein Rap-1b (EC 3.6.5.2) (GTP-binding protein smg p21B),RAP1B OK/SW-cl.11,0.6734,0.6745,0.62133
P61247,40S ribosomal protein S3a (Small ribosomal subunit protein eS1) (v-fos transformation effector protein) (Fte-1),RPS3A FTE1 MFTL,0.96139,0.91199,0.86905
P61289,Proteasome activator complex subunit 3 (11S regulator complex subunit gamma) (REG-gamma) (Activator of multicatalytic protease subunit 3) (Ki nuclear autoantigen) (Proteasome activator 28 subunit gamma) (PA28g) (PA28gamma),PSME3,1.1307,1.1662,1.1466
P61313,60S ribosomal protein L15 (Large ribosomal subunit protein eL15),RPL15 EC45 TCBAP0781,0.9976,1.0235,0.9876
P61353,60S ribosomal protein L27 (Large ribosomal subunit protein eL27),RPL27,0.99502,0.9528,0.95942
P61421,V-type proton ATPase subunit d 1 (V-ATPase subunit d 1) (32 kDa accessory protein) (V-ATPase 40 kDa accessory protein) (V-ATPase AC39 subunit) (p39) (Vacuolar proton pump subunit d 1),ATP6V0D1 ATP6D VPATPD,1.7656,1.5942,1.6043
P61457,Pterin-4-alpha-carbinolamine dehydratase (PHS) (EC 4.2.1.96) (4-alpha-hydroxy-tetrahydropterin dehydratase) (Dimerization cofactor of hepatocyte nuclear factor 1-alpha) (DCoH) (Dimerization cofactor of HNF1) (Phenylalanine hydroxylase-stimulating protein) (Pterin carbinolamine dehydratase) (PCD),PCBD1 DCOH PCBD,7.861,4.1796,7.1879
P61513,60S ribosomal protein L37a (Large ribosomal subunit protein eL43),RPL37A,0.9592,0.91679,0.94991
P61604,"10 kDa heat shock protein, mitochondrial (Hsp10) (10 kDa chaperonin) (Chaperonin 10) (CPN10) (Early-pregnancy factor) (EPF)",HSPE1,1.8989,1.8723,2.0041
P61758,Prefoldin subunit 3 (HIBBJ46) (von Hippel-Lindau-binding protein 1) (VBP-1) (VHL-binding protein 1),VBP1 PFDN3,0.80819,0.83133,0.86806
P61803,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1 (Oligosaccharyl transferase subunit DAD1) (Defender against cell death 1) (DAD-1),DAD1,0.83166,0.77773,0.78546
P61923,Coatomer subunit zeta-1 (Zeta-1-coat protein) (Zeta-1 COP),COPZ1 COPZ CGI-120 HSPC181,1.057,1.0472,1.0906
P61966,AP-1 complex subunit sigma-1A (Adaptor protein complex AP-1 subunit sigma-1A) (Adaptor-related protein complex 1 subunit sigma-1A) (Clathrin assembly protein complex 1 sigma-1A small chain) (Clathrin coat assembly protein AP19) (Golgi adaptor HA1/AP1 adaptin sigma-1A subunit) (HA1 19 kDa subunit) (Sigma 1a subunit of AP-1 clathrin) (Sigma-adaptin 1A) (Sigma1A-adaptin),AP1S1 AP19 CLAPS1,1.6346,1.6512,1.3863
P61970,Nuclear transport factor 2 (NTF-2) (Placental protein 15) (PP15),NUTF2 NTF2,1.0951,1.1513,1.2107
P61978,Heterogeneous nuclear ribonucleoprotein K (hnRNP K) (Transformation up-regulated nuclear protein) (TUNP),HNRNPK HNRPK,0.99233,0.99447,0.96634
P61981,"14-3-3 protein gamma (Protein kinase C inhibitor protein 1) (KCIP-1) [Cleaved into: 14-3-3 protein gamma, N-terminally processed]",YWHAG,1.0118,0.97971,0.96703
P62081,40S ribosomal protein S7 (Small ribosomal subunit protein eS7),RPS7,0.96449,0.91127,0.91772
P62136,Serine/threonine-protein phosphatase PP1-alpha catalytic subunit (PP-1A) (EC 3.1.3.16),PPP1CA PPP1A,0.4916,0.42373,0.50689
P62140,Serine/threonine-protein phosphatase PP1-beta catalytic subunit (PP-1B) (PPP1CD) (EC 3.1.3.16) (EC 3.1.3.53),PPP1CB,0.78733,0.76824,0.81553
P62191,26S proteasome regulatory subunit 4 (P26s4) (26S proteasome AAA-ATPase subunit RPT2) (Proteasome 26S subunit ATPase 1),PSMC1,0.83459,0.83272,0.79289
P62195,26S proteasome regulatory subunit 8 (26S proteasome AAA-ATPase subunit RPT6) (Proteasome 26S subunit ATPase 5) (Proteasome subunit p45) (Thyroid hormone receptor-interacting protein 1) (TRIP1) (p45/SUG),PSMC5 SUG1,0.87757,0.84096,0.80806
P62241,40S ribosomal protein S8 (Small ribosomal subunit protein eS8),RPS8 OK/SW-cl.83,0.97406,0.95957,0.98897
P62244,40S ribosomal protein S15a (Small ribosomal subunit protein uS8),RPS15A OK/SW-cl.82,0.89227,0.98126,0.97112
P62249,40S ribosomal protein S16 (Small ribosomal subunit protein uS9),RPS16,0.95137,0.95449,0.89087
P62253,"Ubiquitin-conjugating enzyme E2 G1 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme G1) (E217K) (UBC7) (Ubiquitin carrier protein G1) (Ubiquitin-protein ligase G1) [Cleaved into: Ubiquitin-conjugating enzyme E2 G1, N-terminally processed]",UBE2G1 UBE2G,1.4085,1.4232,1.4
P62258,14-3-3 protein epsilon (14-3-3E),YWHAE,1.0626,0.96661,1.0416
P62263,40S ribosomal protein S14 (Small ribosomal subunit protein uS11),RPS14 PRO2640,0.95105,0.84877,0.92593
P62266,40S ribosomal protein S23 (Small ribosomal subunit protein uS12),RPS23,0.93732,1.0398,0.95797
P62269,40S ribosomal protein S18 (Ke-3) (Ke3) (Small ribosomal subunit protein uS13),RPS18 D6S218E,0.88166,0.9168,0.89305
P62277,40S ribosomal protein S13 (Small ribosomal subunit protein uS15),RPS13,0.85576,0.83025,0.91317
P62280,40S ribosomal protein S11 (Small ribosomal subunit protein uS17),RPS11,0.99928,0.95417,1.0369
P62304,Small nuclear ribonucleoprotein E (snRNP-E) (Sm protein E) (Sm-E) (SmE),SNRPE,0.92872,0.92601,1.19
P62306,Small nuclear ribonucleoprotein F (snRNP-F) (Sm protein F) (Sm-F) (SmF),SNRPF PBSCF,0.92794,0.97755,0.91779
P62310,U6 snRNA-associated Sm-like protein LSm3,LSM3 MDS017,1.0565,0.9849,1.0659
P62314,Small nuclear ribonucleoprotein Sm D1 (Sm-D1) (Sm-D autoantigen) (snRNP core protein D1),SNRPD1,0.92345,0.88196,0.8395
P62316,Small nuclear ribonucleoprotein Sm D2 (Sm-D2) (snRNP core protein D2),SNRPD2 SNRPD1,0.98776,0.95829,0.9575
P62318,Small nuclear ribonucleoprotein Sm D3 (Sm-D3) (snRNP core protein D3),SNRPD3,0.96714,0.91516,0.95404
P62330,ADP-ribosylation factor 6 (EC 3.6.5.2),ARF6,0.93111,0.99862,0.73428
P62333,26S proteasome regulatory subunit 10B (26S proteasome AAA-ATPase subunit RPT4) (Proteasome 26S subunit ATPase 6) (Proteasome subunit p42),PSMC6 SUG2,0.87017,0.8852,0.80028
P62424,60S ribosomal protein L7a (Large ribosomal subunit protein eL8) (PLA-X polypeptide) (Surfeit locus protein 3),RPL7A SURF-3 SURF3,0.93023,0.92373,0.89354
P62495,Eukaryotic peptide chain release factor subunit 1 (Eukaryotic release factor 1) (eRF1) (Protein Cl1) (TB3-1),ETF1 ERF1 RF1 SUP45L1,0.80542,0.90672,0.80004
P62701,"40S ribosomal protein S4, X isoform (SCR10) (Single copy abundant mRNA protein) (Small ribosomal subunit protein eS4)",RPS4X CCG2 RPS4 SCAR,0.83529,0.87734,0.88316
P62750,60S ribosomal protein L23a (Large ribosomal subunit protein uL23),RPL23A,0.8856,0.88968,0.86029
P62753,40S ribosomal protein S6 (Phosphoprotein NP33) (Small ribosomal subunit protein eS6),RPS6 OK/SW-cl.2,0.9731,0.9624,0.92172
P62805,Histone H4,H4C1 H4/A H4FA HIST1H4A; H4C2 H4/I H4FI HIST1H4B; H4C3 H4/G H4FG HIST1H4C; H4C4 H4/B H4FB HIST1H4D; H4C5 H4/J H4FJ HIST1H4E; H4C6 H4/C H4FC HIST1H4F; H4C8 H4/H H4FH HIST1H4H; H4C9 H4/M H4FM HIST1H4I; H4C11 H4/E H4FE HIST1H4J; H4C12 H4/D H4FD HIST1H4K; H4C13 H4/K H4FK HIST1H4L; H4C14 H4/N H4F2 H4FN HIST2H4 HIST2H4A; H4C15 H4/O H4FO HIST2H4B; H4C16 H4-16 HIST4H4,0.85711,0.80394,0.82722
P62826,GTP-binding nuclear protein Ran (EC 3.6.5.-) (Androgen receptor-associated protein 24) (GTPase Ran) (Ras-like protein TC4) (Ras-related nuclear protein),RAN ARA24 OK/SW-cl.81,1.0978,1.0478,1.0739
P62829,60S ribosomal protein L23 (60S ribosomal protein L17) (Large ribosomal subunit protein uL14),RPL23,1.0022,0.96902,1.0109
P62847,40S ribosomal protein S24 (Small ribosomal subunit protein eS24),RPS24,0.98184,0.88525,0.907
P62851,40S ribosomal protein S25 (Small ribosomal subunit protein eS25),RPS25,0.80531,0.81693,0.79121
P62854,40S ribosomal protein S26 (Small ribosomal subunit protein eS26),RPS26,0.93251,0.98653,0.98793
P62857,40S ribosomal protein S28 (Small ribosomal subunit protein eS28),RPS28,0.95827,0.96286,0.92999
P62873,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1 (Transducin beta chain 1),GNB1,0.51125,0.50948,0.49893
P62879,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2 (G protein subunit beta-2) (Transducin beta chain 2),GNB2,0.61371,0.57679,0.56042
P62888,60S ribosomal protein L30 (Large ribosomal subunit protein eL30),RPL30,0.84978,0.88188,0.84389
P62899,60S ribosomal protein L31 (Large ribosomal subunit protein eL31),RPL31,0.98607,1.0317,1.0202
P62906,60S ribosomal protein L10a (CSA-19) (Large ribosomal subunit protein uL1) (Neural precursor cell expressed developmentally down-regulated protein 6) (NEDD-6),RPL10A NEDD6,0.95694,0.95891,0.84648
P62910,60S ribosomal protein L32 (Large ribosomal subunit protein eL32),RPL32 PP9932,1.0035,0.96832,1.0336
P62913,60S ribosomal protein L11 (CLL-associated antigen KW-12) (Large ribosomal subunit protein uL5),RPL11,0.87929,0.87077,1.076
P62917,60S ribosomal protein L8 (Large ribosomal subunit protein uL2),RPL8,1.0335,1.0259,1.0818
P62937,"Peptidyl-prolyl cis-trans isomerase A (PPIase A) (EC 5.2.1.8) (Cyclophilin A) (Cyclosporin A-binding protein) (Rotamase A) [Cleaved into: Peptidyl-prolyl cis-trans isomerase A, N-terminally processed]",PPIA CYPA,0.8159,0.71743,0.8246
P62942,Peptidyl-prolyl cis-trans isomerase FKBP1A (PPIase FKBP1A) (EC 5.2.1.8) (12 kDa FK506-binding protein) (12 kDa FKBP) (FKBP-12) (Calstabin-1) (FK506-binding protein 1A) (FKBP-1A) (Immunophilin FKBP12) (Rotamase),FKBP1A FKBP1 FKBP12,0.45966,0.45393,0.44712
P62979,Ubiquitin-40S ribosomal protein S27a (Ubiquitin carboxyl extension protein 80) [Cleaved into: Ubiquitin; 40S ribosomal protein S27a (Small ribosomal subunit protein eS31)],RPS27A UBA80 UBCEP1,0.92177,0.90331,0.89908
P62995,"Transformer-2 protein homolog beta (TRA-2 beta) (TRA2-beta) (hTRA2-beta) (Splicing factor, arginine/serine-rich 10) (Transformer-2 protein homolog B)",TRA2B SFRS10,0.95415,0.98984,1.0099
P63000,Ras-related C3 botulinum toxin substrate 1 (EC 3.6.5.2) (Cell migration-inducing gene 5 protein) (Ras-like protein TC25) (p21-Rac1),RAC1 TC25 MIG5,0.70425,0.70739,0.74201
P63010,AP-2 complex subunit beta (AP105B) (Adaptor protein complex AP-2 subunit beta) (Adaptor-related protein complex 2 subunit beta) (Beta-2-adaptin) (Beta-adaptin) (Clathrin assembly protein complex 2 beta large chain) (Plasma membrane adaptor HA2/AP2 adaptin beta subunit),AP2B1 ADTB2 CLAPB1,0.85438,0.83577,0.8092
P63104,14-3-3 protein zeta/delta (Protein kinase C inhibitor protein 1) (KCIP-1),YWHAZ,0.50153,0.46691,0.49035
P63151,Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform (PP2A subunit B isoform B55-alpha) (PP2A subunit B isoform PR55-alpha) (PP2A subunit B isoform R2-alpha) (PP2A subunit B isoform alpha),PPP2R2A,1.4429,1.4894,1.4914
P63162,Small nuclear ribonucleoprotein-associated protein N (snRNP-N) (Sm protein D) (Sm-D) (Sm protein N) (Sm-N) (SmN) (Tissue-specific-splicing protein),SNRPN HCERN3 SMN,1.068,0.87109,0.90819
P63167,"Dynein light chain 1, cytoplasmic (8 kDa dynein light chain) (DLC8) (Dynein light chain LC8-type 1) (Protein inhibitor of neuronal nitric oxide synthase) (PIN)",DYNLL1 DLC1 DNCL1 DNCLC1 HDLC1,0.88974,0.94099,1.0476
P63173,60S ribosomal protein L38 (Large ribosomal subunit protein eL38),RPL38,0.90051,0.89262,0.84776
P63208,S-phase kinase-associated protein 1 (Cyclin-A/CDK2-associated protein p19) (p19A) (Organ of Corti protein 2) (OCP-2) (Organ of Corti protein II) (OCP-II) (RNA polymerase II elongation factor-like protein) (SIII) (Transcription elongation factor B polypeptide 1-like) (p19skp1),SKP1 EMC19 OCP2 SKP1A TCEB1L,0.90322,0.82945,0.84578
P63220,40S ribosomal protein S21 (Small ribosomal subunit protein eS21),RPS21,0.98409,0.94866,0.97893
P63241,Eukaryotic translation initiation factor 5A-1 (eIF-5A-1) (eIF-5A1) (Eukaryotic initiation factor 5A isoform 1) (eIF-5A) (Rev-binding factor) (eIF-4D),EIF5A,0.5629,0.54414,0.55558
P63244,"Receptor of activated protein C kinase 1 (Cell proliferation-inducing gene 21 protein) (Guanine nucleotide-binding protein subunit beta-2-like 1) (Guanine nucleotide-binding protein subunit beta-like protein 12.3) (Human lung cancer oncogene 7 protein) (HLC-7) (Receptor for activated C kinase) (Small ribosomal subunit protein RACK1) [Cleaved into: Receptor of activated protein C kinase 1, N-terminally processed (Guanine nucleotide-binding protein subunit beta-2-like 1, N-terminally processed)]",RACK1 GNB2L1 HLC7 PIG21,0.90146,0.86157,0.9261
P63261,"Actin, cytoplasmic 2 (EC 3.6.4.-) (Gamma-actin) [Cleaved into: Actin, cytoplasmic 2, N-terminally processed]",ACTG1 ACTG,0.25577,0.25713,0.25545
P63279,SUMO-conjugating enzyme UBC9 (EC 2.3.2.-) (RING-type E3 SUMO transferase UBC9) (SUMO-protein ligase) (Ubiquitin carrier protein 9) (Ubiquitin carrier protein I) (Ubiquitin-conjugating enzyme E2 I) (Ubiquitin-protein ligase I) (p18),UBE2I UBC9 UBCE9,1.0558,0.94222,0.97622
P67775,Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform (PP2A-alpha) (EC 3.1.3.16) (Replication protein C) (RP-C),PPP2CA,1.0268,1.0066,1.053
P67809,Y-box-binding protein 1 (YB-1) (CCAAT-binding transcription factor I subunit A) (CBF-A) (DNA-binding protein B) (DBPB) (Enhancer factor I subunit A) (EFI-A) (Nuclease-sensitive element-binding protein 1) (Y-box transcription factor),YBX1 NSEP1 YB1,0.67934,0.67939,0.79643
P67812,Signal peptidase complex catalytic subunit SEC11A (EC 3.4.21.89) (Endopeptidase SP18) (Microsomal signal peptidase 18 kDa subunit) (SPase 18 kDa subunit) (SEC11 homolog A) (SEC11-like protein 1) (SPC18),SEC11A SEC11L1 SPC18 SPCS4A,0.48269,0.40359,0.49428
P67870,Casein kinase II subunit beta (CK II beta) (Phosvitin) (Protein G5a),CSNK2B CK2N G5A,0.89985,0.75153,0.82266
P67936,Tropomyosin alpha-4 chain (TM30p1) (Tropomyosin-4),TPM4,0.074329,0.12438,0.107
P68036,Ubiquitin-conjugating enzyme E2 L3 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme L3) (L-UBC) (UbcH7) (Ubiquitin carrier protein L3) (Ubiquitin-conjugating enzyme E2-F1) (Ubiquitin-protein ligase L3),UBE2L3 UBCE7 UBCH7,0.64543,0.73445,0.68041
P68104,Elongation factor 1-alpha 1 (EF-1-alpha-1) (Elongation factor Tu) (EF-Tu) (Eukaryotic elongation factor 1 A-1) (eEF1A-1) (Leukocyte receptor cluster member 7),EEF1A1 EEF1A EF1A LENG7,0.53661,0.51692,0.47715
